Card,Write protection switch [31],DRM
CompactFlash,No,No
SmartMedia,"Partial, sticker",Partial (optional)
"MMC, RS-MMC",No,No
MMCMobile,No,"Yes, secureMMC"
SD,Yes [32][33],"Yes, CPRM"
miniSD,No,"Yes, CPRM"
microSD,No,"Yes, CPRM"
"Memory Stick Standard, PRO",Yes,"Optional, MagicGate"
"Memory Stick Duo, PRO Duo",No,"Optional, MagicGate"
Memory Stick PRO-HG Duo,No,"Optional, MagicGate"
Memory Stick Micro (M2),No,"Optional, MagicGate"
PS Vita Memory Card,No,"Yes, Proprietary"
xD,No,Partial [34]
USB,Sometimes,No
