Software,Platform,License,Latest version,Last release year,Size (MB)[a],Description,Number[b],Supported metadata standards[c],Supported metadata standards[c],Supported metadata standards[c],Supported metadata standards[c],Supported metadata standards[c],Supported metadata standards[c],Supported file formats[d],Supported file formats[d],Supported file formats[d],Supported file formats[d]
Software,Platform,License,Latest version,Last release year,Size (MB)[a],Description,Number[b],EXIF,GPS,IPTC,XMP,Maker,Other,JPEG,TIFF,Raw,Other
A Photo Manager[3][4],Android,GPLv3,0.6.3.180211 (35),2018,1.3,Show/Edit GPS infos of local photos through a map.,?,REW,REW,R,REW,R,R,Yes,?,?,?
Auto ISO Tool[5],Windows,Freeware,?,2007,0.2,GUI for ExifTool to patch Canon ISO information.,2,W,-,R,-,R,-,Yes,-,-,-
AvPicFaceXmpTagger[6],"Linux, Windows",Freeware,1.7,2010,3.7,Write Picasa face recognition information as XMP to your images.,?,-,-,-,RW,-,-,Yes,-,-,-
Caption Pro[7][8],"MacOS, Windows",Proprietary,1.7.0,2020,80,Uses facial recognition technology to assist in the automatic application of IPTC and XMP image metadata.,>50,-,-,RDEW,RDEW,-,RDEW,Yes,Yes,Yes,Yes
Daminion[9],Windows,Proprietary,6.4.0.2099,2019,"359 (Server) 77,7 (Client)","Updates EXIF/IPTC/XMP/ID3/Office metadata in video, audio, docs, camera raw and vector images. Uses ExifTool.",>70,REW,REW,REW,REW,R,REW,Yes,Yes,Yes,Yes
DBGallery[10],Windows,"Proprietary, Trial Available",7.5,2016,63,"Can update IPTC and XMP metadata in images, video, and audio. Uses Adobe's XMP Toolkit to read/write.",32,R,REW,REW,REW,-,-,Yes,Yes,Yes,Yes
Description Explorer[11],Windows,Freeware,0.5.2,2009,10.7,Collection of tools for XMP metadata.,15,-,-,-,EW,-,-,Yes,-,-,-
Easy Exif Delete[12],Windows,Freeware,1.2,2010,0.8,Clean any EXIF unwanted data from your digital pictures.,N/A,D,D,-,-,-,-,Yes,-,-,-
EXIF-O-Matic[13],"Linux, MacOS, Windows",Freeware,1.2,2012,0.2,View EXIF tags.,N/A,R,R,-,-,-,-,Yes,-,-,-
ExifAuto[14],Windows,Freeware,2.2,2007,0.4,GUI front-end for ExifTool to perform simple operations.,5,EW,-,-,-,-,-,Yes,Yes,-,-
EXIF Browser[15],Windows,Freeware,0.9.9.16,2007,0.9,Extract EXIF information from image files.,N/A,R,R,-,-,-,-,Yes,Yes,Yes,Yes
Exif Copier[16],Windows,Freeware,0.9,2010,5.0,Copy metadata between sets of multiple images using ExifTool.,?,W,W,W,W,W,W,Yes,Yes,Yes,Yes
ExifCleaner[17],Windows,Shareware,1.8,2012,1.2,Lets you to erase/remove photographic metadata.,N/A,D,D,D,D,D,D,Yes,-,-,-
EXIF Date Changer[18],Windows,Freeware / Shareware,3.55,2017,7,"Allows you change the time, date, and other information stored in the metadata of your photos.",7,EW,-,EW,-,-,-,Yes,Yes,Yes,Yes
ExifDropper[19],Windows,Freeware,0.9,2009,0.1,Graphical front-end for ExifTool with drag-and-drop and command-line parameters.,>200,EW,EW,EW,EW,EW,EW,Yes,Yes,Yes,Yes
ExifMixer[20],Windows,Freeware,0.50,2008,0.4,GUI extension for the ExifTool with command-line parameters.,>200,EW,EW,EW,EW,EW,EW,Yes,Yes,Yes,Yes
Exif Pilot[21],Windows,Freeware,4.9.3,2016,2.1,"Software for viewing, editing, and creating metadata.",26,REW,REW,REW,R,R,R,Yes,Yes,Yes,Yes
Exif Stats[22],Windows,Freeware,,2006,2.0,Extract some tags using ExifTool.,N/A,R,R,R,R,R,R,Yes,Yes,Yes,Yes
Exif Tag Remover[23],Windows,Shareware,5.1,2014,3.5,Allows you to easily delete all metadata tags.,N/A,D,D,D,D,D,D,Yes,Yes,Yes,Yes
ExifTool[24],"Linux, MacOS, Windows",GPLv1,11.89,2020,4.5,Powerful command line utility.,>200,RDEW,RDEW,RDEW,RDEW,RDEW,RDEW,Yes,Yes,Yes,Yes
ExifTool GUI[25],Windows,Freeware,5.16,2015,1.4,GUI for the ExifTool with some editing features.,64,REW,REW,REW,REW,R,R,Yes,Yes,Yes,Yes
