Model,Amazon Video,Crackle,Flixster,Google Play (Google TV),Hulu,iTunes (Apple TV),Movies Anywhere,Netflix,Sling TV [8],Vevo,Vimeo,VUDU,WWE Network,YouTube,UltraFlix
Amazon Fire TV,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Apple TV,Yes (3rd generation and later),Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4th generation and later,Yes,with software version 7.2 and later,Yes (HD)
Asus Cube,Yes,No,No,Yes,No,No,?,Yes,No,No,No,No,No,Yes,No
Google Chromecast/Nexus Player,Yes[9],Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hisense Pulse,No,Yes,Yes,Yes,No,No,?,Yes,No,No,No,Yes,No,Yes,Yes
Little Smart Box,No,Yes,Yes,Yes,Yes,No,?,Yes,No,Yes,Yes,Yes,No,Yes,No
Microsoft Xbox,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes[10],Yes,No,Yes,Yes,Yes,Yes
NanoTech Nuvola,No,No,No,Yes,Yes,No,?,Yes,No,No,No,No,No,Yes,Yes
Nintendo,Yes,No,No,No,Yes,No,?,Yes,No,No,No,No,No,Yes,No
Roku | Roku Devices,Yes,Yes,Yes,Yes[11],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SHIELD Android TV,Yes,Yes,Yes[12],Yes,Yes,No,?,Yes,Yes,Yes,Yes,Yes,Yes[13],Yes,Yes
Sony PlayStation,Yes,Yes,No,No,Yes,No,?,Yes,No,No,No,Yes,Yes,Yes,No
Vizio Co-Star,Yes,Yes,No,No,LT only,No,?,Yes,No,No,No,Yes,No,Yes,Yes
Western Digital WD TV,No,No,Yes,No,Yes,No,?,Live and Play versions,No,No,Yes,Yes,No,Yes,No
