Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
Argus - The all seeing,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,"Viewing, Acknowledging, Reporting",Yes,Unknown,Perl,"Flat file, Berkeley DB",Artistic License,No,Yes,Yes,2013-02,3.7
Avaya VPFM,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,Unknown,MySQL,Commercial,Yes,Yes,Yes,Unknown,Unknown
Cacti,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,PHP,"RRDtool, MySQL",GNU GPL,Via plugin,Yes,Yes,2019-06-07,1.2.4
Checkmk,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,"C, Python",RRDtool,GNU GPL,Yes,Yes,Yes,2020-08-19,1.6.0p16
collectd,No,No,No,No,Push model; multicast possible,Yes,Yes,Yes,Yes,Yes,No,Viewing,Yes,No,C,RRDtool,GNU GPL,No,Apache ACL,Yes,2019-11-13,5.10
Cruz,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,"Java, C++, .NET","MySQL, Oracle",Commercial,Yes,Yes,Yes,2019-02,8.0.0
FreeNATS,Yes,Yes,No,No,Yes,No,No,Via plugin,Yes,In PHP Code,No,Full Control,No,No,PHP,MySQL,GNU GPL,No,Yes,Unknown,2011-07-09,1.13.3b
Ganglia,No,Yes,Yes,No,Via gmond check in,No,Via plugin,No,Yes,No,No,Viewing,Yes,Unknown,"C, PHP",RRDtool,BSD,Yes,No,Unknown,2016-06-14,3.7.2
Hinemos,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,Java,PostgreSQL,GNU GPL,Yes,Yes,Yes,2017-06-09,6.0.1
HPE Openview Network Node Manager (NNMi),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Via integration,Yes,Yes,No,Full Control,Yes,Yes,"C++, Java, Perl","PostgreSQL, Oracle Database",Commercial,Yes,Yes,Yes,2016-08,10.20
Icinga,Via plugin,Yes,Yes,No,Via plugin,Yes,Via plugin,Via plugin,Yes,Yes,No,Full Control,Yes,Via plugin,C[1],"MySQL, PostgreSQL, Oracle Database",GNU GPL,Unknown,Yes,Yes,2019-03-19,2.10.4
InterMapper,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Viewing,Yes,Yes,"Windows, Linux & Mac OS",PostgreSQL,"Limited free, Commercial",Yes,Yes,Yes,2017-07,6.1.5
isyVmon,Yes,Yes,Yes,No,Via plugin,No,Yes,Yes,Yes,Yes,No,Full Control,Yes,Via plugin,PHP,"RRDtool, MySQL","Limited free, Commercial",Via plugin,Yes,Yes,Unknown,Unknown
Kaseya Network Monitor,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full Control,Yes,Yes,Unknown,FirebirdSQL,Commercial,Yes,Yes,Unknown,Unknown,Unknown
Munin,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Partial,No,Viewing,Via nodes,Unknown,Perl,RRDtool,GNU GPL,Unknown,Unknown,Yes,2020-03-24,2.0.59
Nagios,Via plugin,Yes,Yes,No,Via plugin,Yes,Via plugin,Via plugin,Yes,Yes,No,Yes,Yes,Via plugin,C,"Flat file, SQL (via ndoutils), MySql (Via Nconf)",GNU GPL,Yes,Yes,Yes[2],2019-07-29,4.4.4[3]
NeDi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,"Perl, PHP","Pg, MySQL, RRDTool, MariaDB","GPL3, Commercial",Yes,Yes,Yes,2016-04,1.6[4]
Netdisco,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Perl,PostgreSQL,BSD,Yes,Yes,Yes,2017-10,2.036011[5]
NetXMS,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,"C, Java","Oracle, MySQL, MongoDB, PostgreSQL, IBM DB2, Tuxedo",GNU GPL,Yes,Yes,Unknown,2020-02-26,3.2.472
NeuralStar,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Full Control,Yes,Yes,Unknown,MS SQL,Commercial,Yes,Yes,Yes,Unknown,Unknown
CA UIM fka Nimsoft Monitor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Viewing, Acknowledging, Reporting",Yes,Yes,Unknown,"SQLServer, Oracle, MySQL","Limited free, Commercial",Yes,Yes,Yes,2013-06-30,1.8.6
Octopussy,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Full control,No,Yes,"Perl, ASP",MySQL,GNU GPL,No,Yes,No,2017-06-03,1.0.16
op5 Monitor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Via plugin,"C, PHP","Flat file, SQL","Limited free, Commercial",Yes,Yes,Yes,Monthly,7.3.0
OpenKBM,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Unknown,Proprietary with JDBC support,Commercial,Yes,Yes,Yes,Unknown,Unknown
OpenNMS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full Control,Yes,Yes,Java,"JRobin / RRDTool / Apache Cassandra, PostgreSQL",AGPLv3,Yes,Yes,Yes,2019-09-26,25.0.0
