Name,Organizing principle(s),Outline bulleting with indent,Tabbed sections,Sync,Web Clipping,PDF annotate and save [unclear],White­board,Ink-pen input,Handwriting recognition,Spell check,Search,Replace in note,Printing,File save/export/import formats
AllMyNotes Organizer,Tree,Yes,No,Yes,?,No,No,No,No,Yes,Yes,?,Yes,"Proprietary, encrypted; import: plain text, RTF, CSV, images, HTML; exports: plain text, HTML, RTF, images"
BasKet Note Pads,"Tree, tags",?,No,No,?,No,Yes,No,No,Yes,Yes,?,No,Rich text; export as HTML; import text files
CintaNotes,"Notebooks, sections, tags",Yes,Yes,Yes,?,No,No,No,No,No,Yes,?,Yes,"Proprietary; export to Unicode text, XML and HTML"
ConnectedText,"Wiki, Tree and Categories",Yes,Yes,No,?,No,No,No,No,Yes,Yes,?,Yes,"Proprietary (SQL); Export to text, XML, CHM and HTML. Import from text, HTML, XML and RTF"
Day One,"Chronological, tags",Yes,No,Yes[Notes 3],?,No,No,No,No,Yes,Yes,?,Yes[Notes 4],"Markdown (in GUI), XML (data file); Export as: pdf, txt, md"
Evernote,"tags, Notebooks, Stacks",Yes,No,Yes,Yes,Yes,No,Partial[Notes 5],Yes,Yes,Yes,Yes,Yes,Imports and exports in Evernote XML.[2][3]
Gnote,Notebooks,?,No,Yes,?,Yes,No,?,?,Yes,Yes,?,Yes,"NoteXmlFormat, HTML, PDF"
Google Keep,"tags, colors",No,No,Yes,Partial[Notes 6],No,Yes,No,?,Partial[Notes 7],Yes,?,No,"Proprietary; export to Google Doc and thence to PDF, Word, ODT etc."
KeyNote NF,"Notebooks, notes and tree",Yes,Yes,No,?,No,No,No,No,Yes,Yes,?,Yes,"Internal: combination of TXT and RTF; import/export: TXT, RTF, HTML, Treepad"
Memonic,?,?,No,Yes,?,Yes,No,No,?,?,?,?,Yes,Notes stored as XML; can attach any filetype
Microsoft OneNote,"Notebooks, notebook sections, section groups, tags (could be applied to content blocks)",Yes,Yes,Yes[Notes 8],Yes,Yes[Notes 9],Yes,Yes,Yes,Yes,Yes,No,Yes,Imports: Evernote XML.[4] Exports: OneNote binary format.[5]
MyInfo,"Tree, tags, custom attributes",Yes,Yes,No,?,Yes,No,No,No,Yes,Yes,Yes,Yes,"Proprietary, encrypted; import: plain text, RTF, CSV, MS Word, images, web pages; exports: plain text, HTML, RTF, CSV, MS Word"
MyNotex,?,?,?,Yes,?,No,No,No,No,?,Yes,?,Yes,"Sqlite based, zipped attachments; export to HTML; copying as LaTeX; import text files, OpenOffice.org documents"
Okular,?,?,?,No,?,Yes[Notes 10],No,No,No,?,?,?,Yes,"PDF, PS, TIFF, CHM, DjVu, DVI, XPS, ODF, others; export PDF+notes for sending to other Okular users"
Open-Sankoré,"tree, notebooks",No,No,No,?,Yes,Yes,Yes,No,No,No,?,Yes,"Save/export: PDF, IWB, UBZ; Import: PDF, IWB, UBZ, images, image directories"
Org-mode (Emacs),"tree, tags",Yes,Yes,Yes,?,Yes,No,No,No,Yes,Yes,?,Yes,"LaTeX, HTML, DocBook, Taskjuggler, PDF, Freemind, XOXO, iCalendar"
Outline,"Tree-structured notebooks, sections, pages",Yes,Yes,Yes[Notes 11],?,Yes,No,Yes,No,Yes,Yes,?,Yes,"MS OneNote format, export/import as PDF"
PDF Studio,?,?,?,?,?,Yes,No,?,?,?,?,?,Yes,PDF
Personal Knowbase,tags,?,?,?,?,No,No,?,?,?,?,?,Yes,"Export to RTF, HTML, TXT, CSV"
Qiqqa,"tags, brainstorm",No,No,Yes,?,Yes,No,Yes,No,No,Yes,?,Yes,"Proprietary, PDF, Brainstorm; export to RTF and Word"
Simplenote,tags,Yes,No,Yes,?,No,No,No,No,Yes,Yes,?,Yes,Export to XML
TagSpaces,"tags, files, directories",Yes,No,No,?,No,No,No,No,No,Yes,?,Yes,"PNG, JPG, GIF, BMP, ICO, WEBP, SVG, PDF, HTML, MHT, MHTML, MARKDOWN, TXT, XML, JSON, OGG, OGV, WEBM, ODT, ODS, ODP, ODG, EPUB, ZIP"
TiddlyWiki,tags (wikiwords),Yes,Yes,Yes,?,Via plugin,No,?,No,Yes(via browser),Yes,?,Yes,"HTML, json, txt,csv"
Tomboy,?,Yes,?,Yes,?,No,No,No,No,Yes,Yes,?,Yes,"NoteXmlFormat, HTML, PDF, wiki-formats"
Ulysses,"Notebooks, sections, tags",Yes,Yes,Yes,?,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Rich text; export as HTML; import text files; markdown editing.
Microsoft Windows Journal,?,?,No,?,?,No,?,Yes,Yes[Notes 12],?,?,?,Yes,Proprietary
Zim,tags (wikiwords),Yes,No,No,?,No,No,No,No,Yes,Yes,Yes,"Yes, using installed web browser","Stored in modified DokuWiki Markdown; export: HTML, LaTeX, Pandoc Markdown, Sphinx RST (reStructuredText)"
Name,Organizing principle(s),Outline bulleting with indent,Tabbed sections,Sync,Web Clipping,PDF annotate and save,White­board,Ink-pen input,Handwriting recognition,Spell check,Search,Replace,Printing,File save/export/import formats
