Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3[1],Limited MB plan4,Unlimited MB plan4,$/MB plan4,Unlimited BW 16,Provider,Cloud hosted Net Drive5,Sync7,Autodetect changes12,Public file hosting8,physical media restore9,Server location(s)10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green Hosting,OpenSaaS
Acronis,Yes,"Enterprise only, with limited data",Yes,Yes,Yes,Yes,Optional[2],Yes,Optional (Enterprise),Yes (Only win/mac),No,Yes,Acronis,No,Yes,,,," United States,  Europe",No,No limit,Yes,,,
Backblaze,Yes,Yes,Yes,Yes,Yes,Yes[3],No[3] Company must be given passphrase (to private key) to restore any data.,No,No,Yes,No,No,Backblaze,,,Yes,Yes,Yes," United States,  Europe",10 GB[4],No limit,Yes,No,,
Baidu Cloud,Yes,Yes,Yes,Yes,Yes,Yes[5],No,?,No,No,Yes,,Baidu,,Yes,Yes,Yes,, China,2 TB,4 GB (Non-member) 10 GB (Member) 20 GB (Super Member). [6],,?,,
Barracuda Backup Service,Yes,Yes,Yes,,,Yes[7],No,?,No fee per computer,No,Yes,,Barracuda Backup Service,Yes[citation needed],Yes,,No,Yes," United States, Canada, APAC,  Europe",No,,,?,,
Box,Yes,"Partial (no offline sync, access through DAV server)[8][9]",Yes,Yes,Yes,Yes[10],No[10],?,Yes,No,,,Box,Yes[11],Yes[12],Yes,,, United States,10 GB,250 MB (Free) 5 GB (Paid),,,,
Carbonite,Yes,No,Yes,Yes,Yes,Yes,"Partial, optional for Windows only[13]",?,Yes (Business only),Yes (Home only),No[14],Yes [15],Carbonite,,Yes,Yes,Yes[16],, United States,No,4 GB,Yes[17],Yes,,
CloudBerry Backup,Yes,Yes,Yes,No,No,Yes[18],Yes[18][failed verification],Yes,,,,Yes,CloudBerry Backup,Yes,Yes,Yes,,Yes,Global,No,No limit,Yes,Yes,,
CloudMe,Yes,Yes,Yes,Yes,Yes,"No, but 3rd party apps available[citation needed]",,?,,No,,Yes,CloudMe,Yes[19],Yes,Yes,,, Sweden,3 GB,150 MB (Free Accounts) No limit (Premium Accounts),No Limit,No,,
Comodo Backup,Yes,No,No,,,Yes[20],No,?,Yes,No,Yes (5),,Comodo Backup,No,No,,No,, United States,No,,,,,
CrashPlan,Yes,Yes,Yes,Yes,Yes,Yes[21],"Yes, except for web restore[22]",Yes,"Yes, 10TB",No,No,Yes[23],CrashPlan,No,No,Yes[24],No,No," United States,  Australia[25]",No,No Limit,Yes[26],No,,
Dropbox,Yes,Does not work on filesystems other than ext4,Yes,Yes,Yes,Yes,No[27],?,,,Yes,,Dropbox,No,Yes,Yes,Yes,,,2 GB,No Limit[28],,,,No
Dropmysite,Yes,Yes,Yes,,,Yes,No,?,Yes,No,No,Yes,Dropmysite,,Yes,Yes,Yes,,Global,2 GB,No limit,,?,,
Egnyte,Yes,Yes,Yes,,,Optional[29],Optional[29],?,,,,,Egnyte,Yes[30],Yes,Yes,Yes,, United States,No,No limit,,?,,
ElephantDrive,Yes,Yes[31],Yes,Yes[32],,Yes,Optional (off by default) [33],?,Yes,No,,,ElephantDrive,Yes[34],Yes[35],Yes,Yes[36],, United States,2 GB,,Yes,?,"No, Amazon AWS[37][38]",
Google Drive,Yes,"No, no provider-sanctioned Linux support.[39][40][41]",Yes,Yes,Yes,Yes,No,?,,Yes (Enterprise Only) [42],Yes,Yes,Google Drive,No,Yes,Yes,Yes,," United States, Worldwide",15 GB,5 TB[43],,,Partial: 34%[44],No
IASO Backup,Yes,Yes,Yes,,Yes[45],Yes[45],Yes,?,Yes,No,Yes,,IASO Backup,No,No,No,Yes,," United States, Worldwide",No,No limit,Yes,Yes,,
iCloud,Yes,"Yes, via Storage Made Easy client",Yes,"Yes, via Storage Made Easy client",Yes,Yes,No,?,No,No,Yes,,iCloud,?,Yes,?,?,, China for mainland China accounts; [46] unknown for others,1 GB (everyone) [47] 5 GB (Apple users only) [48],,,,"Yes, 94%[37]",No
iDrive,Yes,"Yes, but you have to manually run perl scripts.[49]",Yes,Yes,Yes,Yes[50],No,,No,No,Yes[51],,iDrive,,Yes,Yes,Yes,Yes,unknown,5 GB,,Yes,,,
Infrascale,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Optional,Yes,Yes,No,Yes,Infrascale,No,Yes,Yes,Yes,Yes," United States,  Canada,  United Kingdom,  South Africa,  Australia,  New Zealand,  Jamaica",No,No limit,Yes,Optional,,
Iperius Online Storage,Yes,No,No,,,Yes[52],Optional[52],?,"50, 100, 200, 500 GB",No,No,Yes,Iperius Online Storage,,Yes,Yes,No,Iperius Online Storage,,,No limit,,,,
Intronis,Yes,No,Yes,Yes,Yes,Yes,Yes,configurable,Yes,No[53],Yes,Yes,Intronis,Yes,Yes[54],Yes,No,Yes[55]," United States,  Canada",No,No limit,Yes,Optional,Yes,
Jumpshare,Yes,No,Yes,No,Yes,Yes[56],,,Yes,No,No,Yes[57],Jumpshare,,Yes,Yes,Yes,No," United States,  Europe",2 GB,"250 MB on free, Unlimited on Jumpshare Plus",,,Yes,
Jungle Disk,Yes,Yes,Yes,Yes,Yes,Yes[58],Yes[58],Yes,,,Yes,Yes,Jungle Disk,Yes[59],Yes,Yes,Yes,," United States,  Europe",No,No limit in Backup Vault,Yes,,"Partial, Amazon AWS[37][60] or Rackspace Cloud Files.",
KeepVault,Yes,No,No,,,Yes[61],Yes[62],?,Yes,No,Yes,,KeepVault,,,Yes,,, United States,,20 GB,,,,
Livedrive,Yes,No,Yes,Yes,Yes,No,No,?,Yes,Online Backup only,No,Yes,Livedrive,Yes (paid-only)[63],Yes,Yes,Yes,Yes, United Kingdom,No,No limit,Yes,,,
MediaFire,Yes,Upload only [1],Yes,Yes,Yes,No,No,?,Yes,No,Yes,Yes,MediaFire,No,Yes,Yes,Yes,, United States,10 GB,No Limit,No,No,,
Mega,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[64],Yes,No,Yes,Yes,Mega Ltd.,No,Yes,"Yes, using MEGAsync client",Yes,No," Europe,  New Zealand",15 GB + 35 GB first 30 days,No limit,No,No,,
MiMedia,Yes,No,No,,,Yes[65],No,?,Yes,No,Yes,Yes,MiMedia,No[66],No,Yes,No,No, United States,7 GB,3 GB,Yes,,,
OneDrive,Yes,"No, see note[67]",Yes,Yes[68],Yes,Yes[69],No,?,Yes,No,,,OneDrive,No,Yes,,,,,"5 GB for new users, 25 GB for older users",100 GB [70],,,"Partial, 29%[37]",No
SpiderOak,Yes,Yes,Yes,Download Only,Download Only,Yes[71],Yes[72],?,Yes,Business only (min 10 users),Yes,Yes,SpiderOak,No[73],Yes,Yes,Yes,,,(2 GB free for 60 days only),No limit,Yes,Yes[74],,No
SugarSync,Yes,No,Yes,Yes,Yes,Yes[75],No[76],?,Yes,No,No,,SugarSync,,Yes,Yes,Yes (SugarSync account needed for folders),,,No,100 MB (web) No limit (client app)[77],,,,
Syncplicity,Yes,No,Yes,Yes,Yes,Yes[78],No[78],?,,,Yes,,Syncplicity,,Yes,Yes,Yes,, United States,10 GB,,,,,
Tarsnap,Yes via Cygwin,Yes,Yes,No,No,Yes,Yes[79],?,No,No,Yes,,Tarsnap,No,,,,,,No,,,,"No, Amazon AWS[37][80]",No
