Name,Description/Focus,Registered users,Alexa ranking,Free ,Premium,Supports same-sex connections,Supports non-monogamous connections,Messaging other users,STD-notification,background checks
Adam4Adam,"Connects men with men ""for friendship, romance, or a hot hookup"".",,"9,829[1]",Partial,Yes,Yes (exclusively),?,Free,Yes[2],
Adult FriendFinder,Members can connect with other adult members based on profiles.,"30,000,000, as of 2006[3]","2,944[4]",Partial,Yes/No; Free users cannot respond to contact and cannot initiate contact. Paid users have added benefits.,Yes,Yes,Non-free,,
AnastasiaDate,Connects Western men with women from Russia and former Soviet Republics – CIS,"4,000,000, as of 2013[citation needed]","38,225[5]",Non-free,Yes,Yes,?,Non-free,,
Ashley Madison,Members are matched up with other married adult members based on profiles.,"17,815,000, as of February 2013[6]","10,615[7]",Partial,Yes/No; Free users can view profiles and respond to contact but cannot initiate contact. Paid users have added benefits.,Yes,Yes,Non-free,,
Badoo,"Badoo enable users to meet new people in their area for chat, dating or to make new friends. Available in 44 languages on the web and on 12 different mobile platforms.","403,600,000 as of Oct 2018[8]","1,454[9]",Partial,"Yes/No; Charge for higher prominence, higher limits, invisibility, etc.",Yes,?,Partial,,
BeautifulPeople.com,"Dating website where membership is based on a vote, in which existing members rate how attractive they perceive prospective members to be.","800,000 as of 2015[10]","236,914[11]",Partial,Yes; free profile but subscription required for most features including messaging.,Yes,?,Non-free,,
Bumble,Dating app where women send the first message (for heterosexual matches),"22,000,000 as of 2017[12]","19,208[13]",Free,Yes,Yes,?,"Yes, after mutual match. (In heterosexual matches, messaging can only be initiated by woman.)",,
Christian Connection,"For Christian singles from the UK, Ireland, Australia, New Zealand, USA, Canada and Singapore",,"18,327[14]","Partial; Free trial. Free basic profile members can still see photos, edit profiles, search, use discussion boards. ","Yes/No; Free basic profile members can still see photos, edit profiles, search, use discussion board. Paid members can freely message, start discussion thread, no daily limit of discussion board entries.",Yes,,Yes/No Basic profile members can messaging other users with pre-set replies.,,
ChristianMingle,Dating site that caters to Christian singles. Members may choose whether to specify the Christian denomination to which they belong.,"12,000,000 as of 2019[15]","27,587[16]",Non-free,,Yes,?,Non-free,,
Coffee Meets Bagel,App providing daily curated matches based on Facebook connections,,"208,421[17]",Free,"Yes/No: ""Beans"" (in-app currency) unlock extra features, such as matching with users who aren't in your curated list. Premium membership enables activity reports, read receipts, extra beans.[18]",Yes,,Free,,
Compatible Partners,eHarmony's service for same-sex relationships,,"434,220[19]",Non-free,Yes,Yes (exclusively),?,Non-free,,
Cupid.com,Dating website for people who are looking for romantic relationships. Cupid.com is owned by NSI Holdings Ltd.,"8,000,000 as of 2016[citation needed]","96,226[20]",Partial,"Yes/No; Free: registration, profile, search, pictures uploading, send and receive winks, chat rooms, promo activities. VIP users can send and reply to mails, view full-size personal photos",Yes,No,Non-free,,
DateMySchool,Dedicated to verified college students and alumni (via education database). Strong emphasis on privacy and safety. Can block by departments and schools. Members only see intersection of what they are looking for and what other members are looking for.,"179,000 as of 2013[21]","796,871[22]",Partial,Yes/No; All users can view profiles. Free messaging and status posting for undergraduates (5 messages/day limit). Alumni cannot initiate or respond to contact or post status updates. All Paid users can message and post and they also have added benefits.,Yes,?,Partial,,
DNA Romance / SingldOut,"Web App providing curated matches based on ""chemistry attraction"", personality compatibility and you also see a photograph. SingldOut has changed its web address DNA-Romance.com.",,"1,578,369[23]",Partial,Yes; free profile.,Yes;,?,Free,
eHarmony,Dating site based upon pre-screening using personality tests.,,"21,115[24]",Partial,Yes; free profile but subscription required for most features including messaging.,Yes; via their Compatible Partners brand[25],?,Non-free,,
Gaydar,"Profile-based dating website for gay and bisexual men, women, and couples.",,"923,130[26]",Free: chat and search.,Yes/No,Yes (exclusively),?,Free,,
GayRomeo / PlanetRomeo,"Worldwide social network, instant messaging and dating community for gay, bisexual and transgender men.","6,740,000 registered and 1,107,000 active (last 6 weeks)[27]","707,590[28]","Free: communication, profile and picture views, search engine","Yes/No: video downloads, higher database limits, deactivation of advertising",Yes (exclusively),?,Free,
Gleeden,"Social network, instant messaging and dating community for extra-marital relationships.",,"73,043[29]",Non-free: Costs credits to send and read messages unlimited number of times to one user,"Yes/No: Premium gives higher database limits, deactivation of advertising",Yes,?,Non-free,,
