,Google Play Music,YouTube Music,iBroadcast,iTunes Match,VOX Music Cloud
Owner:,Google LLC,YouTube LLC (Google LLC),"iBroadcast Media, LLC",Apple Inc.,Coppertino Inc.
Launch date:,2011-05-10 (beta)[10],2015-11-12,2012-06-15[11],2011-10-12,2015-04-15[12]
Currently Available:,No,Yes,Yes,Yes,Yes
Web Client:,Yes[13],Yes[14],Yes,No,No
Windows Client:,No,No,No,Yes,No
Android App:,Yes[13],Yes,Yes,Yes,No
iOS App:,Yes[15],Yes,Yes,Yes,Yes[16]
Other listening platforms:,"Android TV, Apple TV, other AirPlay, Chromecast, Sonos[17]","Amazon Alexa, Google Home, Sonos, Chromecast, Android TV, Android Auto",,"Apple TV, other AirPlay","macOS, Apple TV via AirPlay, Chromecast, Sonos[18]"
Upload software:,"Windows, macOS, Linux,[19] Web browser[20]",Web browser[21],"Windows, macOS, Linux,  Web browser","Windows, macOS","VOX Player for Mac, Web browser"
Music Format:,MP3[22],AAC[23],"AAC, FLAC, MKA, MP3, OGG, PCM","AAC, MP3","AAC, AIFF, ALAC, APE, FLAC, M4A, MP3, OGG, WAV, WMA"
Filetypes matched:,"AAC, ALAC, FLAC, MP3, OGG, WMA[24]",None[25],None,"AAC, AIFF, ALAC, MP3, WAV",None
Filetypes transcoded:,"AAC, ALAC, FLAC[a], OGG,[24] WMA,[b]","FLAC, M4A, MP3, OGG, WMA",,"AIFF, ALAC, WAV",None
Maximum file size:,300 MB[26],300 MB,,200 MB or 2 hours[27],250 MB[28]
Free Bitrate:,320 kbit/s[29][30],256 kbit/s[21],128 kbit/s[31],None,None
Premium Bitrate:,320 kbit/s,256 kbit/s,320 kbit/s or Original[32],256 kbit/s,Original Quality
Free Storage:[c],"50,000 files[33]","100,000 files[21]",Unlimited,None[34],None[35]
Premium Storage:,"50,000 files","100,000 files",Unlimited,"100,000 files[d][36]",Unlimited
Premium service features:,"Unlimited, ad-free access to music catalog[37]","Ads-free, background play, download music offline, use audio-only mode, travel with YouTube Music, shuffle downloads, Apple Carplay & Android Auto compatibility[38]","Higher bitrate streaming, equalizer, Android Auto, Carplay",,
Premium pricing:,$9.99 per month,"$9.99 per month (YouTube Music Premium)
$11.99 per month (YouTube Premium)","Free during Beta, $3.99 per month after launch[39]","Annual fee of $24.99 (US), £21.99 (UK), €24.99 (FR), $39.99 (AU)
Included with $9.99 per month Apple Music subscription","$4.99 per month, $49.99 annually (VOX Premium)"
Premium service countries:,63[40][41],"94 (YouTube Music Premium)[42]
95 (YouTube Premium)[42]",,117[43],Worldwide
