Driver,802.11,802.11,802.11,802.11,802.11,802.11,802.11,Bus interface,Wireless Security,Wireless Security,Wireless Security,Monitor mode,Master (AP) mode,Ad-Hoc mode
Driver,a ,b ,g ,n ,ac ,ad ,ax ,Bus interface,WEP,WPA,WPA2,Monitor mode,Master (AP) mode,Ad-Hoc mode
acx1xx,No,Yes,Yes,No,No,?,?,"?| PCI, Mini PCI, PC card, USB",Yes,No,No,Yes,Yes,?
adm8211,?,?,?,?,?,?,?,PCI,?,?,?,?,No,?
carl9170,Yes,Yes,Yes,Yes,No,?,?,USB,Yes,Yes,Yes,Yes,Yes,Yes
ath5k,Yes,Yes,Yes,No,No,?,?,"PCI, Mini PCI, PC card, AHB",Yes,Yes,Yes,Yes,Yes (2.6.31),Yes
ath9k,Yes,Yes,Yes,Yes,No,?,?,"PCI, Mini PCI, Mini PCIe, AHB",Yes,Yes,Yes,Yes,Yes,Yes
ath9k_htc,Yes,Yes,Yes,Yes,No,?,?,USB,Yes,Yes,Yes,Yes,Yes,Yes
ath10k,No,No,No,No,Yes,?,?,"PCI, Mini PCI, AHB, Mini PCIe",Yes,Yes,Yes,Yes,Yes,Yes
b43,No,Yes,Yes,No,No,?,?,"PCI, Mini PCI, SDIO ?",Yes,Yes,Yes,Yes,Yes,Yes
bcm43xx,No,Yes,Yes,No,No,?,?,"PCI, Mini PCI, Cardbus, PC card",Yes,Yes,Yes,Yes,No,?
brcmfmac,Yes,Yes,Yes,Yes,No,?,?,"USB, SDIO, PCI Express",Yes,Yes,Yes,Exp. [29],Yes [30],No
brcmsmac,Yes,Yes,Yes,Yes,No,?,?,"PCI, Mini PCI, Mini PCIe",Yes,Yes,Yes,Yes,Yes [31],Yes [32]
hostap,No,Yes,No,No,No,?,?,"PCI, Mini PCI, PC card",Yes,Yes [33],Yes [33],Yes,Yes,Yes
ipw2100,No,Yes,No,No,No,?,?,Mini PCI,Yes,Yes,Yes,Yes,?,?
ipw2200,Yes,Yes,Yes,No,No,?,?,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
ipw2200-ap,No,Yes,Yes,No,No,?,?,Mini PCI,?,?,?,Yes,Yes,?
ipw3945,Yes,Yes,Yes,No,No,?,?,"Mini PCI, Mini PCIe",Yes,Yes,Yes,Yes,No,Yes
islsm,?,?,?,?,?,?,?,"PCI, USB",No,No,No,?,No,?
iwlwifi,Yes,Yes,Yes,Yes,Yes,?,?,"Mini PCI, Mini PCIe, M.2",Yes,Yes,Yes,Yes,2.4 GHz only Exp. [34] [35],Yes
libertas,No,Yes,Yes,No,No,?,?,"USB, CF, SDIO",?,?,?,?,No,?
madwifi,Yes,Yes,Yes,No,No,?,?,"PCI, PC card, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
mt76,Yes,Yes,Yes,Yes,Yes,?,?,"PCIe, USB",Yes,Yes,Yes,Yes,Yes,Yes
mt7601u,No,Yes,Yes,Yes,No,?,?,USB,Yes,Yes,Yes,Yes,?,?
orinoco,No,Yes,No,No,No,?,?,"Mini PCI, PC card",Yes,Yes [36],No,Yes,No,Yes
p54,No,Yes,Yes,No,No,?,?,"Mini PCI, USB, Cardbus",Yes,Yes,Yes,Yes,Yes,Yes
prism54,No,Yes,Yes,No,No,?,?,PCI,Yes,No,?,Yes,Yes,?
rndis_wlan,No,Yes,Yes,No,No,?,?,USB,Yes,Yes,Yes,No,No,Yes
rt2x00,No,Yes,Yes,No,No,?,?,"PCI, USB, Mini PCI",Yes,Yes [37],Yes [38],Yes,Yes [39],Yes
rtl8180,Yes,Yes,Yes,No,No,?,?,"PCI, PC card, Mini PCI",?,?,?,?,Yes,?
rtl8187,Yes,Yes,Yes,No,No,?,?,USB,Yes,Yes,Yes,Yes,?,?
zd1201,No,Yes,No,No,No,?,?,USB,Yes,No [40],No [40],Yes,Yes,?
zd1211,Yes,Yes,Yes,No,No,?,?,USB,Yes,Yes,Yes,Yes,Yes,?
zd1211rw,No,Yes,Yes,No,No,?,?,USB,Yes,Yes,Yes,Yes,Yes [41],Yes
