Vehicle,Origin,Manufacturer,Mass to ... (kg),Mass to ... (kg),Mass to ... (kg),Launches (+ suborbital),Date of flight,Date of flight
Vehicle,Origin,Manufacturer,LEO,GTO,Other,Launches (+ suborbital),First,Last
Antares 110–130, United States,Orbital,"5,100[7]",,"1,500 to SSO",5[7],2013,2014
Ariane 1, Europe,Aérospatiale,"1,400","1,830[185]",,11[185],1979,1986
Ariane 2, Europe,Aérospatiale,,"2,270[185]",,6[185],1986,1989
Ariane 3, Europe,Aérospatiale,,"2,650[185]",,11[185],1984,1989
Ariane 4 40, Europe,Aérospatiale,"4,600[185]","2,105","2,740 to SSO",7[185],1990,1999
Ariane 4 42L, Europe,Aérospatiale,"7,000[185]","3,480","4,500 to SSO",13[185],1993,2002
Ariane 4 42P, Europe,Aérospatiale,"6,000[185]","2,930","3,400 to SSO",15[185],1990,2002
Ariane 4 44L, Europe,Aérospatiale,"7,000[185]","4,720","6,000 to SSO",40[185],1989,2003
Ariane 4 44LP, Europe,Aérospatiale,"7,000[185]","4,220","5,000 to SSO",26[185],1988,2001
Ariane 4 44P, Europe,Aérospatiale,"6,500[185]","3,465","4,100 to SSO",15[185],1991,2001
Ariane 5 G, Europe,EADS Astrium,"18,000[12]","6,900[12]",,16[12],1996,2003
Ariane 5 G+, Europe,EADS Astrium,,"7,100[12]",,3[12],2004,2004
Ariane 5 GS, Europe,EADS Astrium,"16,000[186]","6,600[12]",,6[12],2005,2009[187]
Ariane 5 ES, Europe,EADS Astrium,"21,000[9]","8,000[12]",,8[12],2008,2018
ASLV, India,ISRO[188],150[189],,,4[189],1987,1994
Athena I, United States,Lockheed Martin,795[190],515,,4[191],1995,2001
Athena II, United States,Lockheed Martin,"1,800[192]",,,3[193],1998,1999[194]
Atlas-Centaur, United States,Lockheed,"1,134[195]","2,222[196]",,148,1962,1983
Atlas G, United States,Lockheed,"5,900[197]","2,222","1,179 to HCO[197]",7[197],1984,1989
Atlas H/MSD, United States,Lockheed,"3,630[198]",,,5,1983,1987
Atlas I, United States,Lockheed Martin,"5,900[197]","2,340[197]",,11[197],1990,1997
Atlas II, United States,Lockheed Martin,"6,780[197]","2,810","2,000 to HCO[197]",10[197],1991,1998
Atlas IIA, United States,Lockheed Martin,"7,316[197]","3,180","2,160 to HCO[197]",23[197],1992,2002
Atlas IIAS, United States,Lockheed Martin,"8,618[197]","3,833","2,680 to HCO[197]",30[197],1993,2004
Atlas IIIA, United States,Lockheed Martin,"8,686[197]","4,060","2,970 to HCO[197]",2[197],2000,2004
