Family,Country,Manufac.,Payload (kg),Payload (kg),Payload (kg),"Cost (US$, millions)",Launches reaching...,Launches reaching...,Launches reaching...,Launches reaching...,Status,Date of flight,Date of flight,Notes,Refs
Family,Country,Manufac.,LEO,GTO,TLI,"Cost (US$, millions)",Total,Space,Any orbit,Target orbit,Status,First,Last,Notes,Refs
Alpha, USA   UKR,Firefly Aerospace,"1,000",N/A,N/A,--,0,,,,Devel.,2020,,,[1]
Angara 1.2, RUS,Khrunichev,"3,800",--,--,25,0,0,0,N/A,Active,2014,,"As of May 2020, only launch was a suborbital test in 2014.[2]",[3][4][5]
Angara A5, RUS,Khrunichev,"14,600–​35,000","3,600–​12,500",--,--,1,1,1,1,Active,2014,,,[3][6]
Antares, USA,Orbital ATK,"6,500",--,--,80[citation needed],13[a],12,12,12,Active,2013,,"Cygnus launcher. Var.: 110, 120, 130, 230, 230+",[7][8][9]
Ariane 1-2-3, EU,Aérospatiale,N/A,"2,650",N/A,--,28,,,,Retired,1979,1989,,[10][11]
Ariane 4, EU,Aérospatiale,"7,000","4,720",N/A,--,116,,,,Retired,1988,2003,"Var.: 40, 42P, 42L, 44P, 44L, 44LP",[11]
Ariane 5, EU,Airbus,"21,000","10,735[12]",N/A,165–​220,109[b],107,107,104,Active,1996,,"Var.: G, G+, GS, ECA, ES.",[13][14][15]
Ariane 6, EU,Airbus Safran,"21,650 (A64 var.)","11,500+ (A64 var.)","8,500 (A64 var.)",115,0,,,,Devel.,2022[16],,"Var.: Ariane 62, Ariane 64.",[17]
ASLV, IND,ISRO,150,--,--,--,4,,,,Retired,1987,1994,,[18]
Astra Rocket, USA,Astra,50-​150 (to SSO),N/A,N/A,--,1[c],0,0,0,Active,2020,,2 suborbital test launches in 2018.,[19]
Athena I & II, USA,Lockheed ATK,"2,065",--,295,--,7,,,,Retired,1995,2001,Launch Lunar Prospector.[20],[21]
Atlas A-B-C-D-E-F-G Atlas I, USA,Lockheed,"5,900","2,340",--,--,514,,,,Retired,1957,1997,Launch Mercury. Atlas or Centaur upper stage.,[22][23][24][25]
Atlas II, USA,Lockheed,"8,618","3,833",--,--,63,63,63,,Retired,1991,2004,,[26][27][28]
