Name,Maximum host cores / CPUs,Maximum host memory,Maximum host disk volume size,Maximum number of guest VM running,Maximum number of logical CPU per VM guest,Maximum amount of memory per VM guest,Maximum number of SCSI + IDE disks per VM guest,Maximum disk size per VM guest
"Containers, or Zones",No theoretical limit (largest SPARC has 384 physical cores),32 TB (largest SPARC),No limit,8191,No limit,No limit,No limit,No limit
VMware Player 15.0[41],No limit,No limit,No limit,No limit,16,4 GB (32-bit); 64 GB (64-bit),?,8 TB
VMware vSphere Hypervisor (ESXi) 4.1[42],160 logical cores,1 TB,2 TB minus 512 bytes,320,8,255 GB,4 IDE; 60 SCSI,2 TB minus 512 bytes
VMware vSphere ESXi 5.0[43],160 logical cores,2 TB,64 TB,512,32,1 TB,4 IDE; 60 SCSI,2 TB minus 512 bytes
VMware vSphere Hypervisor (ESXi 5.5) (free)[44],16 NUMA Nodes / 320 logical CPUs,4 TB,Depending on filesystem,512,8,1 TB,4 IDE; 60 SCSI; 120 SATA,62 TB
VMware vSphere Hypervisor (ESXi 5.5)[45],16 NUMA Nodes / 320 logical CPUs,4 TB,Depending on filesystem,512,64,1 TB,4 IDE; 60 SCSI; 120 SATA,62 TB
VMware vSphere Hypervisor (ESXi 6.7)[46],16 NUMA Nodes / 768 logical CPUs,16 TB,Depending on filesystem,1024,256,6128 GB,4 IDE; 256 SCSI; 120 SATA; 60 NVMe,62 TB
VirtualBox,No limit,No limit,No limit,No limit[47],32,No limit,"4 IDE; no limit for SATA, SCSI, SAS","GUI: 2 TB
Command line: no limit"
Microsoft Hyper-V Server 2008 R2[48],64 cores / 8 CPUs[49],1 TB,No limit,384,4,64 GB,4 IDE; 256 SCSI,2 TB
Microsoft Hyper-V Server 2012[50],320 cores / 64 CPUs[51],4 TB,No limit,1024,64,1 TB,4 IDE; 256 SCSI,64 TB
Microsoft Hyper-V Server 2016[52],512 cores / 320 CPUs,24 TB,No limit,1024,240,12 TB,4 IDE; 256 SCSI,64 TB
Xen[53],4095 CPUs,16TB,No limit,No limit,512 PV / 128 HVM,512GB PV / 1TB HVM,?,?
XCP-ng,4095 CPUs,16TB,No limit,No limit,512 PV / 128 HVM,512GB PV / 1TB HVM,?,?
Xen Server[53],4095 CPUs,16TB,No limit,No limit,512 PV / 128 HVM,512GB PV / 1TB HVM,?,?
