,Single precision,Double precision,Other precision,Processor dependent
Ada[1],Float,Long_Float,N/A
ALGOL 68,real[a],long real[a],"short real, long long real, etc.[d]"
C,float[b],double,long double[f]
C++ (STL),float[b],double,long double[f]
Objective-C (Cocoa),float[b],double,long double[f],CGFloat
C#,float,double,N/A
Java,float,double,N/A
Go,float32,float64,N/A
Rust,f32,f64,N/A
Swift,Float Float32,Double Float64,Float80[g],CGFloat
D,float,double,,real
Common Lisp,single-float,double-float,"float, short-float, long-float"
Scheme,,,
ISLISP,,,
Pascal (Free Pascal),single,double,,real
Visual Basic,Single,Double,N/A
Visual Basic .NET,Single,Double,N/A
Xojo,Single,Double,N/A
Python,N/A,float,
JavaScript,N/A,Number[7],N/A
S-Lang,,,
Fortran,REAL(KIND = n)[c],REAL(KIND = n)[c],
PHP,,float,
Perl,,,
Raku,num32,num64,,Num
Ruby,N/A,Float,N/A
Scala,Float,Double,N/A
Seed7,N/A,float,N/A
Smalltalk,Float,Double,N/A
Windows PowerShell,,
OCaml,N/A,float,N/A
F#,float32,float,N/A
Standard ML,N/A,,N/A,real
Haskell (GHC),Float,Double,
Eiffel,REAL_32,REAL_64,
COBOL,FLOAT-BINARY-7[e],FLOAT-BINARY-34[e],"FLOAT-SHORT, FLOAT-LONG, FLOAT-EXTENDED"
Mathematica,N/A,N/A,,Real
