,calling a function,basic/void function,value-returning function,required main function
Ada[1],foo «(parameters)»,procedure foo «(parameters)» is begin statements end foo,function foo «(parameters)» return type is begin statements end foo,N/A
ALGOL 68,foo«(parameters)»;,proc foo = «(parameters)» void: ( instructions );,proc foo = «(parameters)» rettype: ( instructions ...; retvalue );,N/A
APL,«parameters» foo parameters,foo←{ statements },foo←{ statements },N/A
C (C99),foo(«parameters»),void foo(«parameters») { instructions },type foo(«parameters») { instructions ... return value; },"«global declarations»  int main(«int argc, char *argv[]») {  instructions  }"
Objective-C,foo(«parameters»),void foo(«parameters») { instructions },type foo(«parameters») { instructions ... return value; },"«global declarations»  int main(«int argc, char *argv[]») {  instructions  }"
C++ (STL),foo(«parameters»),void foo(«parameters») { instructions },type foo(«parameters») { instructions ... return value; },"«global declarations»  int main(«int argc, char *argv[]») {  instructions  }"
Java,foo(«parameters»),void foo(«parameters») { instructions },type foo(«parameters») { instructions ... return value; },public static void main(String[] args) { instructions } or  public static void main(String... args) { instructions }
D,foo(«parameters»),void foo(«parameters») { instructions },type foo(«parameters») { instructions ... return value; },int main(«char[][] args») { instructions} or  int main(«string[] args») { instructions} or  void main(«char[][] args») { instructions} or  void main(«string[] args») { instructions}
C#,foo(«parameters»),"Same as above; alternatively, if only one statement:
void foo(«parameters») => statement;","Same as above; alternatively, if simple enough to be an expression:
void foo(«parameters») => expression;","static void Main(«string[] args») method_body
May instead return int.
(starting with C# 7.1:) May return Task or Task<int>, and if so, may be async."
JavaScript,foo(«parameters»),"function foo(«parameters») { instructions } or  var foo = function («parameters») {instructions } or  var foo = new Function («""parameter"", ... ,""last parameter""» ""instructions"");",function foo(«parameters») { instructions ... return value; },N/A
Go,foo(«parameters»),func foo(«parameters») { instructions },func foo(«parameters») type { instructions ... return value },func main() { instructions }
Swift,foo(«parameters»),func foo(«parameters») { instructions },func foo(«parameters») -> type { instructions ... return value },N/A
Common Lisp,(foo «parameters»),(defun foo («parameters»)instructions) or (setf (symbol-function 'symbol)function),(defun foo («parameters»)...value),N/A
Scheme,(foo «parameters»),(define (foo parameters) instructions) or  (define foo (lambda (parameters) instructions)),(define (foo parameters) instructions... return_value) or  (define foo (lambda (parameters) instructions... return_value)),N/A
ISLISP,(foo «parameters»),(defun foo («parameters»)instructions),(defun foo («parameters»)...value),N/A
Pascal,foo«(parameters)»,"procedure foo«(parameters)»; «forward;»[a] 
«labellabel declarations»
«constconstant declarations»
«typetype declarations»
«varvariable declarations»
«local function declarations» begininstructionsend;","function foo«(parameters)»: type; «forward;»[a] 
«labellabel declarations»
«constconstant declarations»
«typetype declarations»
«varvariable declarations»
«local function declarations» begin instructions;  foo := valueend;","program name; 
«labellabel declarations»
«constconstant declarations»
«typetype declarations»
«varvariable declarations»
«function declarations» begininstructions end. "
Visual Basic,Foo(«parameters»),Sub Foo«(parameters)» instructions  End Sub,Function Foo«(parameters)»« As type»instructions  Foo = valueEnd Function,Sub Main()instructionsEnd Sub
Visual Basic .NET,Foo(«parameters»),Sub Foo«(parameters)» instructions  End Sub,"Same as above; alternatively:
Function Foo«(parameters)»« As type»instructions Return valueEnd Function
 
The As clause is not required if Option Strict is off. A type character may be used instead of the As clause.
If control exits the function without a return value having been explicitly specified, the function returns the default value for the return type.","Sub Main(««ByVal »args() As String»)  instructions  End Subor
Function Main(««ByVal »args() As String») As Integer instructionsEnd Function "
Xojo,Foo(«parameters»),Sub Foo«(parameters)» instructions  End Sub,"Same as above; alternatively:
Function Foo«(parameters)»« As type»instructions Return valueEnd Function
 
The As clause is not required if Option Strict is off. A type character may be used instead of the As clause.
If control exits the function without a return value having been explicitly specified, the function returns the default value for the return type.","Sub Main(««ByVal »args() As String»)  instructions  End Subor
Function Main(««ByVal »args() As String») As Integer instructionsEnd Function "
Python,foo(«parameters»),def foo(«parameters»):  Tab ↹ instructions ,def foo(«parameters»):  Tab ↹ instructions  Tab ↹ return value,N/A
S-Lang,foo(«parameters» «;qualifiers»),define foo («parameters») { instructions },define foo («parameters») { instructions ... return value; },public define slsh_main () { instructions }
Fortran,foo («arguments»)  CALL sub_foo («arguments»)[c],SUBROUTINE sub_foo («arguments»)  instructions  END SUBROUTINE[c],type FUNCTION foo («arguments»)  instructions  ...  foo = value  END FUNCTION[c],PROGRAM main  instructions  END PROGRAM
Forth,«parameters» FOO,: FOO  « stack effect comment: ( before -- ) »   instructions  ;,: FOO  « stack effect comment: ( before -- after ) »   instructions  ;,N/A
PHP,foo(«parameters»),function foo(«parameters») { instructions },function foo(«parameters») { instructions ... return value; },N/A
Perl,foo(«parameters») or  &foo«(parameters)»,sub foo { «my (parameters) = @_;» instructions },sub foo { «my (parameters) = @_;» instructions... «return» value; },N/A
Raku,foo(«parameters») or  &foo«(parameters)»,«multi »sub foo(parameters) { instructions },«our «type» »«multi »sub foo(parameters) { instructions... «return» value; },N/A
Ruby,foo«(parameters)»,def foo«(parameters)» instructions  end,def foo«(parameters)» instructions  «return» value  end,N/A
Rust,foo(«parameters»),fn foo(«parameters») { instructions },fn foo(«parameters») -> type { instructions },fn main() { instructions }
