,string to integer,string to long integer,string to floating point,integer to string,floating point to string
Ada[1], Integer'Value (string_expression), Long_Integer'Value (string_expression), Float'Value (string_expression), Integer'Image (integer_expression), Float'Image (float_expression)
"ALGOL 68 with general, and then specific formats","With prior declarations and association of: string buf := ""12345678.9012e34 ""; file proxy; associate(proxy, buf);","With prior declarations and association of: string buf := ""12345678.9012e34 ""; file proxy; associate(proxy, buf);","With prior declarations and association of: string buf := ""12345678.9012e34 ""; file proxy; associate(proxy, buf);","With prior declarations and association of: string buf := ""12345678.9012e34 ""; file proxy; associate(proxy, buf);","With prior declarations and association of: string buf := ""12345678.9012e34 ""; file proxy; associate(proxy, buf);"
"ALGOL 68 with general, and then specific formats","get(proxy, ivar);","get(proxy, livar);","get(proxy, rvar);","put(proxy, ival);","put(proxy, rval);"
"ALGOL 68 with general, and then specific formats","getf(proxy, ($g$, ivar));or
getf(proxy, ($dddd$, ivar));","getf(proxy, ($g$, livar));or
getf(proxy, ($8d$, livar));","getf(proxy, ($g$, rvar));or
getf(proxy, ($8d.4dE2d$, rvar));","putf(proxy, ($g$, ival));or
putf(proxy, ($4d$, ival));","putf(proxy, ($g(width, places, exp)$, rval));or
putf(proxy, ($8d.4dE2d$, rval));"
APL, ⍎string_expression, ⍎string_expression, ⍎string_expression, ⍕integer_expression, ⍕float_expression
C (C99), integer = atoi(string);, long = atol(string);, float = atof(string);," sprintf(string, ""%i"", integer);"," sprintf(string, ""%f"", float);"
Objective-C, integer = [string intValue];, long = [string longLongValue];, float = [string doubleValue];," string = [NSString stringWithFormat:@""%i"", integer];"," string = [NSString stringWithFormat:@""%f"", float];"
C++ (STL),«std::»istringstream(string) >> number;,«std::»istringstream(string) >> number;,«std::»istringstream(string) >> number;,«std::»ostringstream o; o << number; string = o.str();,«std::»ostringstream o; o << number; string = o.str();
C++11, integer = «std::»stoi(string);, long = «std::»stol(string);, float = «std::»stof(string); double = «std::»stod(string); ,string = «std::»to_string(number);,string = «std::»to_string(number);
C#, integer = int.Parse(string);, long = long.Parse(string);, float = float.Parse(string); double = double.Parse(string);,string = number.ToString();,string = number.ToString();
D, integer = std.conv.to!int(string), long = std.conv.to!long(string), float = std.conv.to!float(string) double = std.conv.to!double(string), string = std.conv.to!string(number), string = std.conv.to!string(number)
