,Integer,Single precision,Double precision,Half and Quadruple precision etc.
Ada[1],N/A,Complex[b],Complex[b],Complex[b]
ALGOL 68,N/A,compl,long compl etc.,short compl etc. & long long compl etc.
C (C99) [9],N/A,float complex,double complex,N/A
C++ (STL),N/A,std::complex<float>,std::complex<double>,N/A
C#,N/A,N/A,System.Numerics.Complex (.NET 4.0),N/A
Java,N/A,N/A,N/A,N/A
Go,N/A,complex64,complex128,N/A
D,N/A,cfloat,cdouble,N/A
Objective-C,N/A,N/A,N/A,N/A
Common Lisp,(complex integer),(complex single-float),(complex double-float),complex
Scheme,,,,N/A
Pascal,N/A,N/A,,N/A
Visual Basic,N/A,N/A,,N/A
Visual Basic .NET,N/A,N/A,System.Numerics.Complex (.NET 4.0),N/A
Perl,,,Math::Complex,
Raku,,complex64,complex128,Complex
Python,,,complex,N/A
JavaScript,N/A,N/A,,N/A
S-Lang,N/A,N/A,,N/A
Fortran,,COMPLEX(KIND = n)[a],COMPLEX(KIND = n)[a],N/A
Ruby,Complex,N/A,Complex,N/A
Scala,N/A,N/A,N/A,N/A
Seed7,N/A,N/A,complex,N/A
Smalltalk,Complex,Complex,Complex,N/A
Windows PowerShell,N/A,N/A,,N/A
OCaml,N/A,N/A,Complex.t,N/A
F#,,,System.Numerics.Complex (.NET 4.0),N/A
Standard ML,N/A,N/A,N/A,N/A
Haskell (GHC),N/A,Complex.Complex Float,Complex.Complex Double,N/A
Eiffel,N/A,N/A,N/A,N/A
COBOL,N/A,N/A,N/A,N/A
Mathematica,Complex,N/A,N/A,Complex
