,Simple composite types,Simple composite types,Algebraic data types,Unions
,Records,Tuple expression,Algebraic data types,Unions
Ada[1],type identifier is «abstract» «tagged» «limited» [recordfieldname1 : type;fieldname2 : type;... end record |null record],N/A,"Any combination of records, unions and enumerations (as well as references to those, enabling recursive types).",type identifier (variation : discrete_type) is recordcase variation iswhen choice_list1 =>fieldname1 : type;...when choice_list2 =>fieldname2 : type;......end case;end record
ALGOL 68,"struct (modename «fieldname», ...);",Required types and operators can be user defined,Required types and operators can be user defined,"union (modename, ...);"
C (C99),struct «name» {type name;...};,N/A,N/A,union {type name;...};
Objective-C,struct «name» {type name;...};,N/A,N/A,union {type name;...};
C++,struct «name» {type name;...};[b],«std::»tuple<type1..typen>,N/A,union {type name;...};
C#,struct name {type name;...},"(val1, val2, ... )",,N/A
Java,N/A[a],,,N/A
JavaScript,,N/A,,N/A
D,struct name {type name;...},,"std.variant.Algebraic!(type,...)",union {type name;...}
Go,struct {«name» type ...},,,
Rust,"struct name {name: type, ...}","(val1, val2, ... )","enum name { Foo(types), ...}","union name {name: type, ...}"
Swift,struct name {var name «: type» ...},"(«name1:» val1, «name2:» val2, «name3:» val3, ... )",enum name { case Foo«(types)» case Bar «(types)» ... },
Common Lisp,(defstruct name slot-name (slot-name initial-value) (slot-name initial-value :type type) ...),(cons val1 val2)[c],,
Scheme,N/A,(cons val1 val2)[c],,
ISLISP,,(cons val1 val2)[c],,
Pascal,recordname: type; ...end,N/A,N/A,recordcase type of value: (types); ...end
Visual Basic,,,,
Visual Basic .NET,Structure name  Dim name As type  ...  End Structure,"(val1, val2, ... )",,
Python,N/A[a],"«(»val1, val2, val3, ... «)»",,N/A
S-Lang,"struct {name [=value], ...}",,,
Fortran,TYPE name   type ::  name  ...  END TYPE,,,
PHP,N/A[a],,,
Perl,N/A[d],,,N/A
Raku,N/A[a],,,N/A
Ruby,OpenStruct.new({:name => value}),,,N/A
Scala,"case class name(«var» name: type, ...)","(val1, val2, val3, ... )","abstract class name case class Foo(«parameters») extends name case class Bar(«parameters») extends name ... 
or 
abstract class name case object Foo extends name case object Bar extends name ... 
or combination of case classes and case objects",
Windows PowerShell,,,,
OCaml,type name = {«mutable» name : type;...},"«(»val1, val2, val3, ... «)»",type name = Foo «of type» | Bar «of type» | ...,N/A
F#,type name = {«mutable» name : type;...},"«(»val1, val2, val3, ... «)»",type name = Foo «of type» | Bar «of type» | ...,N/A
Standard ML,"type name = {name : type,...}","(val1, val2, val3, ... )",datatype name = Foo «of type» | Bar «of type» | ...,N/A
Haskell,"data Name = Constr {name :: type,...}","(val1, val2, val3, ... )",data Name = Foo «types» | Bar «types» | ...,N/A
COBOL,level-number name type clauses.   level-number+n name type clauses.   ...,N/A,N/A,name REDEFINES variable type.
