,if,else if,select case,conditional expression
Ada[1],if condition then statements «else statements» end if,if condition1 then statements elsif condition2 then statements... «else statements» end if,case expression iswhen value_list1 => statementswhen value_list2 => statements...«when others => statements» end case,(if condition1 then expression1 «elsif condition2 then expression2» ...  else expressionn) (case expression is when value_list1 => expression1when value_list2 => expression2 ...  «when others => expressionn» )
Seed7,if condition then statements «else statements» end if,if condition1 then statements elsif condition2 then statements... «else statements» end if,case expression of when set1 : statements ... «otherwise: statements» end case,
Modula-2,if condition then statements «else statements» end,if condition1 then statements elsif condition2 then statements... «else statements» end,case expression of caseLabelList : statements | ... «else statements» end,
ALGOL 68,if condition then  statements «else statements» fi,if condition then statements elif condition then statements fi,"case switch in statements, statements«,... out statements» esac",( condition | valueIfTrue | valueIfFalse )
ALGOL 68  (brief form),( condition | statements «| statements» ),( condition | statements |: condition |  statements ),"( variable | statements,... «| statements» )",
APL,:If condition instructions «:Else instructions»:EndIf,:If condition instructions :ElseIf condition instructions ... «:Else instructions» :EndIf,:Select expression  :Case case1  instructions ...  «:Elseinstructions»:EndSelect,{condition:valueIfTrue ⋄ valueIfFalse}
"C (C99) and:
Objective-C
C++ (STL)
D
Java
JavaScript
PHP","if (condition) instructions «else instructions»
instructions can be a single statement or a block in the form of: { statements }","if (condition) instructions else if (condition) instructions ... «else instructions»
if (condition) instructions
else { if (condition) instructions }",switch (variable) {case case1: instructions «break;» ... «default: instructions»},condition ? valueIfTrue : valueIfFalse
C#,"if (condition) instructions «else instructions»
instructions can be a single statement or a block in the form of: { statements }","if (condition) instructions «else instructions»
if (condition) instructions else if (condition) instructions ... «else instructions»","All non-empty cases must end with a break or goto case statement (that is, they are not allowed to fall-through to the next case).
The default case is not required to come last. ","condition ? valueIfTrue : valueIfFalse
switch (variable)
{
case case1:
instructions
«break_or_jump_statement»     ...     «default:
instructions
break_or_jump_statement»
}"
Windows PowerShell,if (condition) instructions «else instructions»,if (condition) { instructions } elseif (condition) { instructions } ... «else { instructions }»,switch (variable) { case1 { instructions «break;» } ... «default { instructions }»},
Go,if condition {instructions} «else {instructions}»,if condition {instructions} else if condition {instructions} ... «else {instructions}»  or  switch {case condition: instructions ... «default: instructions»},switch variable {case case1: instructions ... «default: instructions»},
Swift,if condition {instructions} «else {instructions}»,if condition {instructions} else if condition {instructions} ... «else {instructions}» ,switch variable {case case1: instructions ... «default: instructions»},
Perl,if (condition) {instructions} «else {instructions}» or unless (notcondition) {instructions} «else {instructions}»,if (condition) {instructions} elsif (condition) {instructions} ... «else {instructions}» or unless (notcondition) {instructions} elsif (condition) {instructions} ... «else {instructions}»,"use feature ""switch""; ... given (variable) {when (case1) { instructions } ... «default { instructions }»}",condition ? valueIfTrue : valueIfFalse
Raku,if condition {instructions} «else {instructions}» or unless notcondition {instructions},if condition {instructions} elsif condition {instructions} ... «else {instructions},given variable {when case1 { instructions } ... «default { instructions }»},condition ?? valueIfTrue !! valueIfFalse
Ruby,if condition instructions «else instructions» ,if condition instructions elsif condition instructions ... «else instructions» end,case variable  when case1  instructions ...  «elseinstructions»end,condition ? valueIfTrue : valueIfFalse
Scala,if (condition) {instructions} «else {instructions}»,if (condition) {instructions} else if (condition) {instructions} ... «else {instructions}»,expression match {case pattern1 => expression case pattern2 => expression ... «case _ => expression»}[b],if (condition) valueIfTrue else valueIfFalse
Smalltalk,condition ifTrue: trueBlock «ifFalse: falseBlock» end,,,condition ifTrue: trueBlock ifFalse: falseBlock
