,object member,object member,object member,class member,namespace member
,method,field,property,class member,namespace member
ABAP Objects,x->method(«parameters»).[39],x->field,N/A,x=>field or x=>method(«parameters[39]»).,N/A
C++ (STL),x.method(parameters) or ptr->method(parameters),x.field or ptr->field,,cls::member,ns::member
Objective-C,[x method«:parameter «bar:parameter ...»»],x->field,x.property (2.0 only) or [x property],[cls method«:parameter «bar:parameter ...»»],
Smalltalk,x method«:parameter «bar:parameter ...»»,N/A,,cls method«:parameter «bar:parameter ...»»,
Swift,x.method(parameters),,x.property,cls.member,
APL (Dyalog),left argument» x.method «right argument(s)»,x.field,x.property,cls.member,ns.member
C#,x.method(parameters),x.field,cls.member,ns.member
Java,x.method(parameters),x.field,N/A,cls.member,ns.member
D,x.method(parameters),x.field,x.property,cls.member,ns.member
Python,x.method(parameters),x.field,x.property,cls.member,ns.member
Visual Basic .NET,x.method(parameters),x.field,x.property,cls.member,ns.member
Xojo,x.method(parameters),x.field,x.property,cls.member,ns.member
Windows PowerShell,x.method(parameters),x.field,x.property,[cls]::member,ns.member
F#,x.method(parameters),N/A,x.property,cls.member,ns.member
eC,x.method«(parameters)»,x.field,x.property,cls::member,ns::member
Eiffel,x.method«(parameters)»,x.field,,{cls}.member,N/A
Ruby,x.method«(parameters)»,N/A,x.property,cls.member,N/A
PHP,x->method(parameters),x->field,x->property,cls::member,ns\member
Perl,x->method«(parameters)»,x->{field},,cls->method«(parameters)»,ns::member
Raku,x.method«(parameters)» or  x!method«(parameters)»,x.field or  x!field,,cls.method«(parameters)» or  cls!method«(parameters)»,ns::member
OCaml,x#method «parameters»,N/A,N/A,,
JavaScript,"x.method(parameters) x[""method""](parameters)","x.field x[""field""]","x.property x[""property""]","cls.member cls[""member""]",N/A
COBOL,"INVOKE x ""method"" «USING parameters» «RETURNING result» or x::""method""«(«parameters»)»",N/A,property OF x,"INVOKE cls ""method"" «USING parameters» «RETURNING result» or cls::""method""«(«parameters»)» or property OF cls",N/A
Cobra,x.method«(parameters)»,x.field,x.property,cls.member,ns.member
