,Import namespace,Import namespace,Import item
,qualified,unqualified,Import item
ABAP Objects,,,
C++ (STL),,using namespace ns;,using ns::item ;
C#,,using ns;,using item = ns.item;
D,,import ns;,import ns : item;
Java,,import ns.*;,import ns.item;
Objective-C,,,
Visual Basic .NET,,Imports ns,
Eiffel,,,
Python,import ns,from ns import *,from ns import item
PHP,,use ns;,use ns\item;
Perl,use ns;,,use ns qw(item);
Raku,use ns;,,
Ruby,,,
Windows PowerShell,,,
OCaml,,open ns,
F#,,open ns,
COBOL,N/A,N/A,N/A
