Format,Languages
string (string'Last - n + 1 .. string'Last),Ada
"Right(string,n)",VB
"RIGHT$(string,n)",BASIC
"right(string,n)","FreeBASIC, Ingres, Pick Basic"
"strcpy(string2, string+n) (n must not be greater than the length of string)",C
string.Substring(string.Length()-n),C#
string[len(string)-n:],Go
string.substring(string.length()-n),Java
string.slice(-n),JavaScript[40]
"right(string,n «,padchar»)","Rexx, Erlang"
"substr(string,-n)","Perl 5, PHP"
"substr(string,*-n)  string.substr(*-n)",Raku
string[-n:],"Cobra, Python"
string[n],Pick Basic
(string-take-right string n),Scheme (SRFI 13)
string[-n..-1],"Ruby, Ya"
string[$-n .. $],D[41]
String.sub string (String.length string - n) n,OCaml[24]
"string.sub(string, -n)  (string):sub(-n)",Lua
string last: n,"Smalltalk (Squeak, Pharo)"
"StringTake[string, -n]",Mathematica[25]
string (1:n),COBOL
¯n↑string.,APL
string[n..] string.get(n..),Rust[26]
