,Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation)
CorelDRAW,Corel,1989,2020,"$449, $169 upgrade",Proprietary,Windows
Easy Trace,Easy Trace Group,2015,12.0,"960 €, 480 € upgrade, Version 7.99 and 8.65 free",Proprietary,Windows
Adobe Illustrator,Adobe Systems,1985,24.1.0 (CC2020),$19.99 per month,Proprietary,"Windows, macOS"
Graphic Tracer Professional,GraphicPowers.com,2016,release 5,$15 per month/ $120 per year,Proprietary,"Windows, macOS due fall 2017"
Inkscape (using Potrace),Inkscape.org,2003,0.92.5 1.0RC1,free,GPL,"Windows, macOS, Linux"
ImageTracer,András Jankovics,2015,1.2.6 (2020),free,Public domain,"Cross-platform , JavaScript or Java based"
Potrace,Peter Selinger,2001,1.16 (Sep. 2019),free,GPL,"Windows, macOS, Linux, BSD, AmigaOS/AROS"
Scan2CAD,Avia Systems,1997,v10.1,$49 - $149 /month,Proprietary,"Windows, macOS"
WinTopo Freeware,SoftSoft Ltd,1999,2015 (v1.76),free,Freeware,Windows
WinTopo Pro,SoftSoft Ltd,2000,2015 (v3.6),$299,Proprietary,Windows
Xara Photo & Graphic Designer,Xara Group Ltd.,1994,2018 (v16),$89.99,Proprietary,Windows
Super Vectorizer,Effectmatrix Ltd.,2013,2016 (v1.6.6),$29.99,Proprietary,macOS
AutoTrace,Martin Weber,1998,2002 (v0.31.1),free,GPL,Linux
,Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation)
