Model,Launch,Fab (nm),Bus interface,Memory,Memory,Memory
Model,Launch,Fab (nm),Bus interface,Size (KiB),Bus type,Bus width (bit)
Mach 8,1991,800,"ISA, MCA",512 1024,DRAM VRAM,32
Mach 32,1992,800,"ISA, EISA, VLB PCI, MCA",1024 2048,DRAM VRAM,64
Mach 64 CX,1994,700,"ISA, VLB, PCI","1024, 2048, 4096","DRAM, VRAM",64
Mach 64 GX,1994,700,"ISA, VLB, PCI","1024, 2048, 4096","DRAM, VRAM",64
Mach 64 CT,1995,600,PCI,"1024, 2048, 4096","DRAM, VRAM, EDO",64
Mach 64 VT (264VT),1995,600,PCI,"1024, 2048, 4096","DRAM, VRAM, EDO",64
Mach 64 VT2 (264VT2),1996,600,PCI,"1024, 2048, 4096",EDO,64
Mach 64 VT4 (264VT4),1998,600,PCI,"2048, 4096","EDO, SGRAM",64
