Model (Codename),Release Date & Price,Architecture & Fab,Transistors & Die Size,Core,Core,Fillrate[a][b][c],Fillrate[a][b][c],Processing power[a][d] (GFLOPS),Processing power[a][d] (GFLOPS),Memory,Memory,Memory,Memory,TBP (W),Bus interface
Model (Codename),Release Date & Price,Architecture & Fab,Transistors & Die Size,Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Single,Double,Bus type & width,Size (GiB),Clock (MT/s),Band- width (GB/s),TBP (W),Bus interface
Radeon 520[83],"April 18, 2017 OEM",GCN 1st gen 28 nm,Unknown,320:20:4 5 CU,1030 , 20.6, 4.1, 659,Unknown,GDDR5 64-bit,1 2,4500,48,Unknown,Unknown
Radeon 530[84],"April 18, 2017 OEM",GCN 3rd gen 28 nm,? 125 mm2,320:20:8 384:24:8 6/5 CU, 1024, 24.6, 8.2,655 786,Unknown,GDDR5 64-bit,1 2 4[85],4500,48,Unknown,Unknown
Radeon 530[84],"April 18, 2017 OEM",GCN 3rd gen 28 nm,? 125 mm2,320:20:8 384:24:8 6/5 CU, 1024, 24.6, 8.2,655 786,Unknown,DDR3,1 2 4[85],Unknown,Unknown,Unknown,Unknown
Radeon RX 540 (Lexa)[86][87],"April 18, 2017 OEM",GCN 4th gen Samsung/GloFo 14LPP[88][f],2.2×109 101 mm2,512:32:16 8 CU,1219,39,19.5,1248,78,GDDR5 128-bit,2 4,6000,96,Unknown,PCIe 3.0 x8
Radeon RX 550 (Lexa)[89][90],"April 20, 2017 $79 USD",GCN 4th gen Samsung/GloFo 14LPP[88][f],2.2×109 101 mm2,640:40:16 10 CU,1100[91] 1183,35.2 37.9,17.6 18.9,1126 1211,70.4 75.7,GDDR5 128-bit,2 4,7000,112,50,PCIe 3.0 x8
Radeon 550X (Lexa)[92],"April 11, 2018 OEM",GCN 4th gen Samsung/GloFo 14LPP[88][f],2.2×109 101 mm2,640:40:16 10 CU, 1287, 51.48, 20.6, 1647, 103,GDDR5 64-bit,2 4,7000,56,50,PCIe 3.0 x8
Radeon RX 550X (Lexa)[93],"April 3, 2018 $79 USD",GCN 4th gen Samsung/GloFo 14LPP[88][f],2.2×109 101 mm2,512:40:16 640:40:16 8/10 CU, 1287, 51.48, 20.6,1318 1647,82.4 103,GDDR5 128-bit,2 4,7000,112,50,PCIe 3.0 x8
Radeon RX 560D[94][95][96],July 2017 Only available in China and through OEMs,GCN 4th gen Samsung/GloFo 14LPP[88][f],3.0×109 123 mm2,896:56:16 14 CU,1090 1175,61.0 65.8,"17,4 18.8",1953 2106,"122,0 131.6",GDDR5 128-bit,2 4,6000,96,65,PCIe 3.0 x8
Radeon RX 560[g] (Baffin)[94],October 2017 $99 USD,GCN 4th gen Samsung/GloFo 14LPP[88][f],3.0×109 123 mm2,896:56:16 14 CU,1090 1175,61.0 65.8,17.4 18.8,1953 2106,122.0 131.6,GDDR5 128-bit,2 4,7000,112,60-80,PCIe 3.0 x8
Radeon RX 560[g] (Baffin)[97][90],May 2017 $99 USD,GCN 4th gen Samsung/GloFo 14LPP[88][f],3.0×109 123 mm2,1024:64:16 16 CU,1175 1275,75.2 81.6,18.8 20.4,2406 2611,150.4 163.2,GDDR5 128-bit,2 4,7000,112,60–80,PCIe 3.0 x8
Radeon RX 570 (Polaris20 XL)[98][90],"April 18, 2017 $169 USD",GCN 4th gen Samsung/GloFo 14LPP[88][f],5.7×109 232 mm2,2048:128:32 32 CU,1168 1244,149.5 159.2,37.4 39.8,4784 5095,299.0 318.4,GDDR5 256-bit,4 8,7000,224,150,PCIe 3.0 x16
Radeon RX 580 (Polaris20 XT)[99][90],"April 18, 2017 $199 USD (4 GB) $229 USD (8 GB)",GCN 4th gen Samsung/GloFo 14LPP[88][f],5.7×109 232 mm2,2304:144:32 36 CU,1257 1340,181.0 193.0,40.2 42.9,5792 6175,362.0 385.9,GDDR5 256-bit,4 8,8000,256,185,PCIe 3.0 x16
Radeon RX 590 GME[100][101],"March 9, 2020 Only available in China",Unknown,5.7×109 232 mm2,2304:144:32 36 CU,1257 1380,181.0 198.7,40.2 44.2,5792 6359,362.0 397.4,GDDR5 256-bit,8,8000,256,Unknown,PCIe 3.0 x16
Radeon RX 590 (Polaris30 XT)[102],"November 15, 2018 $279 USD",GCN 4th gen Samsung/GloFo 12LP (14LP+)[h],5.7×109 232 mm2,2304:144:32 36 CU,1469 1545,211.5 222.5,47.0 49.4,6769 7120,423.0 444.9,GDDR5 256-bit,8,8000,256,225,PCIe 3.0 x16
