Model (Codename),Release Date & Price,Architecture & Fab,Transistors & Die Size,Core,Core,Fillrate[a][b][c],Fillrate[a][b][c],Processing power[a][d] (GFLOPS),Processing power[a][d] (GFLOPS),Processing power[a][d] (GFLOPS),Memory,Memory,Memory,Memory,TBP (W),Bus interface,Graphic output ports
Model (Codename),Release Date & Price,Architecture & Fab,Transistors & Die Size,Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Half,Single,Double[f],Bus type & width,Size (GiB),Clock (MT/s),Band- width (GB/s),TBP (W),Bus interface,Graphic output ports
Radeon Pro WX 2100 (Lexa)[266][267][268],June 2017 $149 USD,GCN 4th gen TSMC 14 nm,2200×106 103 mm2,512:32:16 8 CU,1219,39.0,19.5,SP,"1,250",78,GDDR5 64-bit,2,6000,48,<35,PCIe 3.0 ×16,1× DP 1.4  2× mini-DP 1.4
Radeon Pro WX 3100[266][269],June 2017 $200 USD,GCN 4th gen TSMC 14 nm,2200×106 103 mm2,512:32:16 8 CU,1219,39.0,19.5,SP,"1,250",78,GDDR5 128-bit,4,6000,96,<50,PCIe 3.0 ×16,1× DP 1.4  2× mini-DP 1.4
Radeon Pro WX 4100 (Polaris 11)[270][271][272][273][274][275],November 2016 $399 USD,GCN 4th gen TSMC 14 nm,3000×106 123 mm2,1024:64:16 16 CU,925 1170,59.2 74.9,14.8 18.7,SP,"1,890 2,400",118 150,GDDR5 128-bit,4,7000,112,50,PCIe 3.0 ×16,4× mini-DP 1.4
Radeon Pro WX 5100 (Polaris 10)[271][272][273][276][275],November 2016 $499 USD,GCN 4th gen TSMC 14 nm,5700×106 232 mm2,1792:112:32 28 CU,926 1090,103.7 122.1,29.6 34.9,SP,"3,320 3,910",208 244,GDDR5 256-bit,8,6600,211.2,75,PCIe 3.0 ×16,4× Display Port 1.4
Radeon Pro WX 7100 (Polaris 10)[271][272][273][277][278][275],November 2016 $799 USD,GCN 4th gen TSMC 14 nm,5700×106 232 mm2,2304:144:32 36 CU,900 1240,115.2 158.7,28.8 39.7,SP,"4,150 5,710",259 357,GDDR5 256-bit,8,8000,256,130,PCIe 3.0 ×16,4× Display Port 1.4
Radeon Pro WX 9100 (Vega)[279][280][281][282][283][284][285],"September 2017 $2,199 USD",GCN 5th gen 14 nm,12500×106 484mm2,4096:256:64[286] 64 CU,1500,384.0,96.0,"24,576 (2× SP)","12,288",768 (​1⁄16× SP),HBM2 2048-bit,16,1890,483.84,<250,PCIe 3.0 ×16,6× mini-DP 1.4
Radeon Pro SSG (Fiji)[287],July 2016 prototype only,GCN 3rd gen 28 nm,8900×106 596 mm2,4096:256:64 64 CU,1000?,256?,64.0?,"8,192?","8,192?",512?,HBM + SSG 4096-bit,4 + 1 TB SSD,1000,512,200?,PCIe 3.0 ×16,Unknown
Radeon Pro SSG (Vega)[288][281][283][284],"September 2017 $6,999 USD",GCN 5th gen 14 nm,12500×106 484 mm2,4096:256:64[286] 64 CU,1500,384.0,96.0,"24,600","12,290",768,HBM2 + SSG 2048-bit,16 + 2 TB SSD,1890,483.84,<300,PCIe 3.0 ×16,6× mini-DP 1.4
Radeon Pro Duo (Polaris 10)[271][272][273][277][278][275][289],April 2017 $999 USD,GCN 4th gen TSMC 14 nm,"


2×

5700×106 232 mm2",2×,5700×106 232 mm2,"


2×

2304:128:32 36 CU",2×,2304:128:32 36 CU, 1243,2× 179.0,2× 39.78,SP,"2× 5,728", (​1⁄16× SP),GDDR5 256-bit,2×16,7000,224,<250,PCIe 3.0 ×16,3× DP 1.4 1× HDMI 2.0
2×,5700×106 232 mm2
2×,2304:128:32 36 CU
Radeon Pro V340 (Vega)[290],Q4 2018 TBA,GCN 5th gen 14 nm,12500×106 484 mm2,3584:224:64 56 CU,852 1000,224,64,"14,336 (2× SP)","7,168",448 (​1⁄16× SP),HBM2 2048-bit,16,2000,512,230,PCIe 3.0 ×16,no outputs
Radeon Pro V340 MxGPU (Vega)[291][292][293],Q4 2018 TBA,GCN 5th gen 14 nm,"


2×

12500×106 484 mm2",2×,12500×106 484 mm2,"


2×

3584:224:64 56 CU",2×,3584:224:64 56 CU,852 1000,2× 224,2× 64,"2× 14,336 (2× SP)","2× 7,168",2× 448 (​1⁄16× SP),HBM2 2048-bit,2× 16,2000,512,300,PCIe 3.0 ×16,no outputs
2×,12500×106 484 mm2
2×,3584:224:64 56 CU
