Model,Launch,Code name and Architecture,Fab  (nm),Transistors  (million),"Core config1,2",Core clock (MHz),Fillrate,Fillrate,Fillrate,Fillrate,Ray-tracing Performance,Ray-tracing Performance,Memory,Memory,Memory,Memory,Memory,Bus interface,API compliance (version),API compliance (version),API compliance (version),Processing power (GFLOPS),Architecture features
Model,Launch,Code name and Architecture,Fab  (nm),Transistors  (million),"Core config1,2",Core clock (MHz),MOperations/s,MPixels/s,MTexels/s,MTri/s,GRays/s (triangles),GRays/s (voxels or boxes),Size (MiB),Clock (MHz),RAM type,Bus width (bit),Bandwidth (GB/s),Bus interface,Direct3D,OpenGL,other,Processing power (GFLOPS),Architecture features
Flipper (GameCube)  [430][431][432][433][434],"September 14, 2001",Flipper,NEC 180 nm[435],51[436],4(Pixel Pipelines):1(Vertex Pipeline):4:4,162,648,648,648,60,-,-,24 shared 16 shared 3 eDRA,324 81 162,1T-SRAM SDRAM eDRAM,64 8 512,3.2 1.6 12.8/9.63,Integrated,No,Unknown,Unknown,9.4,"Fixed-function T&L, TEV register combiner"
Xenos (Xbox 360)[437][438],"November 22, 2005",Xenon Zephyr Opus Falcon Jasper Vejle Corona,TSMC 90 nm 90 nm 65/80 nm 65/80 nm 65 nm[439] 45 nm[440] 45 nm,232[441],240(48x5):16:8,500,"240,000",4000,8000,500,-,-,512 (shared) 10 eDRAM,700 500,GDDR3 eDRAM,128,22.4 32 (GPU to daughter die) 256 (Daughter die ROP to eDRAM),Integrated,9.0c+,No,Unknown,240,Surface tessellation
Hollywood (Wii)[442],"November 19, 2006",Hollywood,NEC 90 nm,,4(Pixel Pipelines):1(Vertex Pipeline):4:4,243,972,972,972,70,-,-,24 shared 64 shared 3 eDRAM,486 Unknown 243,1T-SRAM GDDR3 eDRAM,64 Unknown 512,4.8 4 19.2/14.4,Integrated,No,Unknown,Unknown,14.1,"Fixed-function T&L, TEV register combiner"
Latte (Wii U)[443],"November 18, 2012",Latte,Renesas 45 nm,,160:16:8,550,"176,000",4400,8800,366,-,-,2048 (shared) 32 eDRAM,800 (1600 effective) 550,DDR3 eDRAM,64 1024,12.8 70.4,Integrated,No,Unknown,Unknown,176,
Durango (Xbox One)[444],"November 22, 2013",Durango (GCN based),TSMC 28 nm  (One S) 16 nm,"4,800[445]",768:48:16,"853,  (One S) 914","1,310,208,   (One S) 1,403,904","13,648,  (One S) 14,624","40,944,   (One S) 43,872",1300,-,-,8192 (shared) 32 eSRAM,1066.5 (2133 effective) 1706 (3412 effective),DDR3 eSRAM,,"68.3 218, 219 (One S)",Integrated,11.2[446] 12,No,Mantle technically possible,"1310.2, (One S) 1403.9","Tiled resources, (One S) Upscaled 4K HDR support"
Liverpool (PlayStation 4)[447],"November 15, 2013",Liverpool (GCN based),TSMC 28 nm 16 nm,,1152:72:32,800,"1,843,200","25,600","57,600",1707,-,-,8192 (shared),1375 (5500 effective),GDDR5,256,176,Integrated,No,4.2,"GNM, GNMX, PlayStation Shader Language, Mantle technically possible",1843.2,HDR possible (only 2K)
Neo (PlayStation 4 Pro)[448][449][450],"November 10, 2016",Ellesmere GCN 4,TSMC 16 nm,"5,700",2304:144:64,911,"4,197,888","58,304","131,200",3078,-,-,8192 (shared),1700 (6800 effective),GDDR5,256,217.6,Integrated,No,4.2 (4.5),"GNM, GNMX, PlayStation Shader Language, Mantle technically possible",4197.8,"4K HDR possible, Full Compatible PS4 mode with reduced power consumption"
Scorpio Engine (Xbox One X)[451][452],"November 7, 2017",Jaguar,TSMC 16 nm,"6,600[445]",2560:160:32,1172,"6,000,640","37,504 [453]","187,520",4400,-,-,12288 (shared),1700 (6800 effective),GDDR5,384,326.4,Integrated,11.2  12,No,Unknown,6000.6,"4K HDR support, supersampling"
