,,Cerberus,Complete,CrushFTP Server,FileZilla,IIS,Multi Server
,License type,proprietary,proprietary,proprietary,FLOSS/GPL2,proprietary,proprietary
OS,Linux,No,No,Yes,No,No,No
OS,Mac OS X,No,No,Yes,No,No,No
OS,Unix,No,?,Yes,No,No,No
OS,Windows,Yes,Yes,Yes,Yes,Yes,Yes
User Interface,CLI,?,?,Yes,?,"Yes, via PowerShell[4]",?
User Interface,GUI integrated,Yes,?,Yes,Yes,Yes,?
User Interface,GUI(s) separately,Yes,?,?,?,?,?
User Interface,Web-based GUI,Yes,Yes,Yes,No,No,?
Services,FTP,Yes,Yes,Yes,Yes,Yes,Yes
Services,SFTP,Yes,Yes,Yes,No,No,Yes
Services,FTPS,Yes,Yes,Yes,Yes,Yes,Yes
Services,SCP,Yes,Yes,Yes,No,No,Yes
Services,WebDAV,No,No,Yes,No,Yes,No
Services,HTTP/HTTPS,Yes,Yes,Yes,No,Yes,Yes
Services,AS2,No,No,Yes,No,No,No
Authentication,LDAP,Yes,Yes,Yes,No,No,No
Authentication,Active Directory,Yes,Yes,Yes,No,Yes,Yes
Authentication,Local,Yes,Yes,Yes,Yes,Yes,Yes
Authentication,Database,No,Yes,Yes,No,No,Yes
High Availability,Failover Cluster (active/passive),Yes,No,Yes,No,Yes,No
High Availability,Load Balancing (active/active),Yes,?,Yes,No,Yes,?
Automation,Event-handling,Yes,Yes,Yes,No,No,?
Automation,Scripting,No,Yes,Yes,No,No,?
,,Cerberus,Complete,CrushFTP Server,FileZilla,IIS,Multi Server
