Name,Release year,Market,Processor,Code name,Device ID,Clock rate,Clock rate,Core config1,API support[62][13][32][49][50],API support[62][13][32][49][50],API support[62][13][32][49][50],API support[62][13][32][49][50],eDRAM  (MiB),Memory  bandwidth  (GB/s)
Name,Release year,Market,Processor,Code name,Device ID,Min  (MHz),Max  (MHz),Core config1,Direct3D,OpenGL,OpenCL,Vulkan,eDRAM  (MiB),Memory  bandwidth  (GB/s)
HD Graphics 500,2016,Mobile/ Embedded,Atom x5-E3930,Apollo Lake  (Gen9LP),5A85,400,550,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  1.2Linux,1.2Windows  1.2Linux,-,68.2
HD Graphics 500,2016,Mobile/ Embedded,Atom x5-E3940,Apollo Lake  (Gen9LP),5A85,400,600,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  1.2Linux,1.2Windows  1.2Linux,-,68.2
HD Graphics 500,2016,Mobile,Celeron N3350,Apollo Lake  (Gen9LP),5A85,200,650,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  1.2Linux,1.2Windows  1.2Linux,-,38.4
HD Graphics 500,2016,Mobile,Celeron N3450,Apollo Lake  (Gen9LP),5A85,200,700,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  1.2Linux,1.2Windows  1.2Linux,-,38.4
HD Graphics 500,2016,Desktop,Celeron J3355,Apollo Lake  (Gen9LP),5A85,250,700,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  1.2Linux,1.2Windows  1.2Linux,-,38.4
HD Graphics 500,2016,Desktop,Celeron J3455,Apollo Lake  (Gen9LP),5A85,250,750,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  1.2Linux,1.2Windows  1.2Linux,-,38.4
HD Graphics 505,2016,Mobile/ Embedded,Atom x7-E3950,Apollo Lake  (Gen9LP),5A84,500,650,144:18:3,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  1.2Linux,1.2Windows  1.2Linux,-,76.8
HD Graphics 505,2016,Mobile,Pentium N4200,Apollo Lake  (Gen9LP),5A84,200,750,144:18:3,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  1.2Linux,1.2Windows  1.2Linux,-,38.4
HD Graphics 505,2016,Desktop,Pentium J4205,Apollo Lake  (Gen9LP),5A84,250,800,144:18:3,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  1.2Linux,1.2Windows  1.2Linux,-,38.4
HD Graphics 510,2015,Mobile,Celeron 3855U  Celeron 3955U,Skylake  (Gen9),1906,300,900,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 510,2015,Mobile,Pentium 4405U,Skylake  (Gen9),1906,300,950,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 510,2015,Desktop,Celeron G3900TE Celeron G3900E Celeron G3900T Celeron G3900 Celeron G3902E Celeron G3920 Pentium G4400TE Pentium G4400T Core i5-6402P,Skylake  (Gen9),1902,350,950,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 510,2015,Desktop,Pentium G4400,Skylake  (Gen9),1902,350,1000,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 510,2015,Desktop,Core i3-6098P,Skylake  (Gen9),1902,350,1050,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 515,2015,Mobile,Pentium 4405Y,Skylake  (Gen9),191E,300,800,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,29.8
