Model,Features,Features,Features,Features,Features,Features,Features,Features
Model,Scalable Link Interface (SLI),"PureVideo 2 with VP2
Engine: (BSP and 240 AES)",PureVideo 4 with VP4 Engine
GeForce 210,No,No,Yes,Yes,Yes
GeForce GT 220,No,No,Yes
GeForce GT 240,No,No,Yes
GeForce GTS 250,Yes 3-Way (4-way for EVGA 285 Classified),Yes,No
GeForce GTX 260,Yes 3-Way (4-way for EVGA 285 Classified),Yes,No
GeForce GTX 260 Core 216,Yes 3-Way (4-way for EVGA 285 Classified),Yes,No
GeForce GTX 260 Core 216 (55 nm),Yes 3-Way (4-way for EVGA 285 Classified),Yes,No
GeForce GTX 275,Yes 3-Way (4-way for EVGA 285 Classified),Yes,No
GeForce GTX 280,Yes 3-Way (4-way for EVGA 285 Classified),Yes,No
GeForce GTX 285,Yes 3-Way (4-way for EVGA 285 Classified),Yes,No
GeForce GTX 295,Yes ,Yes,No
