Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,"Core config1,3",Clock rate,Clock rate,Clock rate,Fillrate,Fillrate,Memory configuration,Memory configuration,Memory configuration,Memory configuration,Supported API version,Supported API version,Supported API version,Supported API version,Processing power (GFLOPS)2,Processing power (GFLOPS)2,TDP (Watts)6,Release Price (USD)
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,"Core config1,3",Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),DRAM type,Bus width (bit),Vulkan,Direct3D,OpenGL,OpenCL8,Single precision,Double precision,TDP (Watts)6,Release Price (USD)
GeForce 510,"September 29, 2011",GF119,TSMC 40 nm,292,79,PCIe 2.0 ×16,1,48:8:4,523,1046,1800,2.1,4.5,1024 2048,14.4,DDR3,64,n/a[29],11.1,4.6,1.1,100.4,Unknown,25,OEM
GeForce GT 520,"April 12, 2011",GF119,TSMC 40 nm,292,79,PCIe 2.0 ×16 PCIe 2.0 ×1 PCI,1,48:8:4,810,1620,1800,3.25,6.5,1024 2048,14.4,DDR3,64,n/a[29],11.1,4.6,1.1,155.5,Unknown,29,$59
GeForce GT 530,"May 14, 2011",GF108? / GF118[citation needed],TSMC 40 nm,~585,~116,PCIe 2.0 ×16,2,96:16:4,700,1400,1800,2.8,11.2,1024 2048,28.8,DDR3,128,n/a[29],11.1,4.6,1.1,268.8,Unknown,50,OEM
GeForce GT 545,"May 14, 2011",GF116,TSMC 40 nm,~1170,~238,PCIe 2.0 ×16,3,144:24:16,720,1400,1800,11.52,17.28,1536 3072,43,DDR3,192,n/a[29],11.1,4.6,1.1,415.07,Unknown,70,$149
GeForce GT 545,"May 14, 2011",GF116,TSMC 40 nm,~1170,~238,PCIe 2.0 ×16,3,144:24:16,870,1740,1998,13.92,20.88,1024,64,GDDR5,128,n/a[29],11.1,4.6,1.1,501.12,Unknown,105,OEM
GeForce GTX 550 Ti,"March 15, 2011",GF116-400,TSMC 40 nm,~1170,~238,PCIe 2.0 ×16,4,192:32:24,900,1800,4104,21.6,28.8,768+256 1536,65.7+32.8 98.5,GDDR5,128+649 192,n/a[29],11.1,4.6,1.1,691.2,Unknown,116,$149
GeForce GTX 555,"May 14, 2011",GF114,TSMC 40 nm,1950,332,PCIe 2.0 ×16,6,288:48:24,736,1472,3828,17.6,35.3,1024,91.9,GDDR5,128+649,n/a[29],11.1,4.6,1.1,847.9,Unknown,150,OEM
GeForce GTX 560 SE,"February 20, 2012[38]",GF114-200-KB-A14,TSMC 40 nm,1950,332,PCIe 2.0 ×16,6,288:48:24,736,1472,3828,17.6,35.3,1024,91.9,GDDR5,128+649,n/a[29],11.1,4.6,1.1,847.9,Unknown,150,OEM
GeForce GTX 560,"May 17, 2011",GF114-325-A14,TSMC 40 nm,1950,332,PCIe 2.0 ×16,7,336:56:32,810,1620,4008,25.92,45.36,1024 2048,128.1,GDDR5,256,n/a[29],11.1,4.6,1.1,1088.6,Unknown,150,$199
GeForce GTX 560 Ti,"January 25, 2011",GF114-400-A14,TSMC 40 nm,1950,332,PCIe 2.0 ×16,8,384:64:32,822,1645,4008,26.3,52.61,1024 2048,128.26,GDDR5,256,n/a[29],11.1,4.6,1.1,1263.4,110,170,$249
GeForce GTX 560 Ti,"May 30, 2011",GF1105,TSMC 40 nm,3000[39],520[39],PCIe 2.0 ×16,11,352:44:40,732,1464,3800,29.28,32.21,1280 2560,152,GDDR5,320,n/a[29],11.1,4.6,1.1,1030.7,128.83,2106,OEM
GeForce GTX 560 Ti 448 Cores,"November 29, 2011",GF110-270-A15,TSMC 40 nm,3000[39],520[39],PCIe 2.0 ×16,14,448:56:40,732,1464,3800,29.28,40.99,1280,152,GDDR5,320,n/a[29],11.1,4.6,1.1,1311.7,163.97,2106,$289
GeForce GTX 570,"December 7, 2010",GF110-275-A15,TSMC 40 nm,3000[39],520[39],PCIe 2.0 ×16,15,480:60:40,732,1464,3800,29.28,43.92,1280 2560,152,GDDR5,320,n/a[29],11.1,4.6,1.1,1405.4,175.68,2196,$349
GeForce GTX 580,"November 9, 2010",GF110-375-A15,TSMC 40 nm,3000[39],520[39],PCIe 2.0 ×16,16,512:64:48,772,1544,4008,37.05,49.41,1536 30727,192.384,GDDR5,384,n/a[29],11.1,4.6,1.1,1581.1,197.63,2446[40],$499
GeForce GTX 590,"March 24, 2011",2× GF110-351-A1,TSMC 40 nm,2× 3000,2× 520,PCIe 2.0 ×16,2×16,2× 512:64:48,607,1215,3414,2×29.14,2×38.85,2× 1536,2×163.87,GDDR5,2×384,n/a[29],11.1,4.6,1.1,2488.3,311.04,365,$699
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,"Core config1,3",Clock rate,Clock rate,Clock rate,Fillrate,Fillrate,Memory configuration,Memory configuration,Memory configuration,Memory configuration,Supported API version,Supported API version,Supported API version,Supported API version,Processing power (GFLOPS)2,Processing power (GFLOPS)2,TDP (Watts)6,Release Price (USD)
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,"Core config1,3",Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),DRAM type,Bus width (bit),Vulkan,Direct3D,OpenGL,OpenCL8,Single precision,Double precision,TDP (Watts)6,Release Price (USD)
