Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,Core config1,Clock rate,Clock rate,Clock rate,Clock rate,Clock rate,Fillrate,Fillrate,Memory configuration,Memory configuration,Memory configuration,Memory configuration,Supported API version,Supported API version,Supported API version,Supported API version,Processing power (GFLOPS)10,Processing power (GFLOPS)10,TDP (Watts),Release Price (USD)
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,Core config1,Core (MHz),Average Boost (MHz),Max Boost (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),DRAM type,Bus width (bit),Vulkan,Direct3D,OpenGL,OpenCL,Single precision,Double precision,TDP (Watts),Release Price (USD)
GeForce 6052,"April 3, 2012",GF119,TSMC 40 nm,292,79,PCIe 2.0 ×16,1,48:8:4,523,N/A,N/A,1046,898 (1796),1.05,4.2,512 1024,14.4,DDR3,64,n/a[29],12,4.6,1.2,100.4,Unknown,25,OEM
GeForce GT 6103,"May 15, 2012",GF119-300-A1,TSMC 40 nm,292,79,"PCIe 2.0 ×16, PCIe ×1, PCI",1,48:8:4,810,N/A,N/A,1620,1000 1800,1.62,6.5,512 1024 2048,8 14.4,DDR3,64,n/a[29],12,4.6,1.2,155.5,Unknown,29,Retail
GeForce GT 6204,"April 3, 2012",GF119,TSMC 40 nm,292,79,PCIe 2.0 ×16,1,48:8:4,810,N/A,N/A,1620,898 (1796),1.62,6.5,512 1024,14.4,DDR3,64,n/a[29],12,4.6,1.2,155.5,Unknown,30,OEM
GeForce GT 6204,"May 15, 2012",GF108-100-KB-A1,TSMC 40 nm,585,116,PCIe 2.0 ×16,2,96:16:4,700,N/A,N/A,1400,1000–1800,2.8,11.2,1024 2048,8–14.4,DDR3,64,n/a[29],12,4.6,1.2,268.8,Unknown,49,Retail
GeForce GT 625,"February 19, 2013",GF119,TSMC 40 nm,292,79,PCIe 2.0 ×16,1,48:8:4,810,N/A,N/A,1620,898 (1796),3.24,6.5,512 1024,14.4,DDR3,64,n/a[29],12,4.6,1.2,155.5,Unknown,30,OEM
GeForce GT 630,"April 24, 2012",GK107,TSMC 28 nm,1300,118,PCIe 3.0 ×16,1,192:16:16,875,N/A,N/A,875,891 (1782),14,14,1024 2048,28.5,DDR3,128,1.0[29],12,4.6,1.2,336,14,50,OEM
GeForce GT 630,"May 15, 2012",GF108-400-A1,TSMC 40 nm,585,116,PCIe 2.0 ×16,2,96:16:4,700,N/A,N/A,1620,1600–1800,2.8,11.2,1024 2048 4096,25.6–28.8,DDR3,128,n/a[29],12,4.6,1.2,311,Unknown,49,Retail
GeForce GT 630,"May 15, 2012",GF108,TSMC 40 nm,585,116,PCIe 2.0 ×16,2,96:16:4,810,N/A,N/A,1620,800 (3200),3.2,13,1024,51.2,GDDR5,128,n/a[29],12,4.6,1.2,311,Unknown,65,Retail
