Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[a],Bus interface,"L2
Cache (MB)",Clock Speeds,Clock Speeds,Clock Speeds,Memory,Memory,Memory,Memory,Fillrate[b],Fillrate[b],Processing power (GFLOPS)[b][c],Processing power (GFLOPS)[b][c],TDP (Watts),SLI support,Release price (USD)
Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[a],Bus interface,"L2
Cache (MB)",Base (MHz),Boost (MHz),Memory (MT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Pixel (GP/s)[d],Texture (GT/s)[e],Single precision,Double precision,TDP (Watts),SLI support,MSRP
GeForce GT 945A[61][62][63],"February, 2016",GM108,TSMC 28HP,Unknown,Unknown,512:24:8 (4),PCIe 3.0 ×8,?,1072,1176,1800,1 / 2,14.4,DDR3 / GDDR5,64,8.5 9.4,25.7 28.2,1 097.7 1 204.2,34.3 37.6,33,No,OEM
GeForce GTX 950[64],"August 20, 2015",GM206-250,TSMC 28HP,2.94,227,768:48:32 (6),PCIe 3.0 ×16,1,1024,1188,6600,2,105.7,GDDR5,128,32.7 38.0,49.1 57.0,1 572.8 1 824.7,49.1 57.0,90 (75[f]),2-way SLI,$159
GeForce GTX 950 (OEM)[66],Unknown,GM206,TSMC 28HP,2.94,227,1024:64:32 (8),PCIe 3.0 ×16,1,935,Unknown,5000,2,80.0,GDDR5,128,29.9  ,59.8  ,1 914.9  ,59.8  ,Unknown,2-way SLI,OEM
GeForce GTX 960[67],"January 22, 2015",GM206-300,TSMC 28HP,2.94,227,1024:64:32 (8),PCIe 3.0 ×16,1,1127,1178,7000,2 4[g],112.1,GDDR5,128,36.0 37.6,72.1 75.3,2 308.0 2 412.5,72.1 75.3,120,2-way SLI,$199
GeForce GTX 960 (OEM)[69],Unknown,GM204,TSMC 28HP,5.2,398,1280:80:48 (10),PCIe 3.0 ×16,1,924,Unknown,5000,3,120.0,GDDR5,192,44.3  ,73.9  ,2 365.4  ,73.9  ,Unknown,2-way SLI,OEM
GeForce GTX 970[70],"September 18, 2014",GM204-200,TSMC 28HP,5.2,398,1664:104:56 (13),PCIe 3.0 ×16,1.75,1050,1178,7000,3.5 + 0.5[h],196.3 + 28.0[h],GDDR5,224 + 32[h],58.8 65.9,109.2 122.5,3 494.4 3 920.3,109.2 122.5,145,4-way SLI,$329
GeForce GTX 980[72],"September 18, 2014",GM204-400,TSMC 28HP,5.2,398,2048:128:64 (16),PCIe 3.0 ×16,2,1126,1216,7000,4,224.3,GDDR5,256,72.0 77.8,144.1 155.6,4 612.0 4 980.7,144.1 155.6,165,4-way SLI,$549
GeForce GTX 980 Ti[73],"June 1, 2015",GM200-310,TSMC 28HP,8,601,2816:176:96 (22),PCIe 3.0 ×16,3,1000,1075,7000,6,336.5,GDDR5,384,96.0 103.2,176.0 189.2,5 632.0 6 054.4,176.0 189.2,250,4-way SLI,$649
GeForce GTX TITAN X[74],"March 17, 2015",GM200-400,TSMC 28HP,8,601,3072:192:96 (24),PCIe 3.0 ×16,3,1000,1075,7000,12,336.5,GDDR5,384,96.0 103.2,192.0 206.4,6 144.0 6 604.8,192.0 206.4,250,4-way SLI,$999
