Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[b],Bus interface,"L2
Cache (MB)",Clock speeds,Clock speeds,Clock speeds,Memory,Memory,Memory,Memory,Fillrate[c],Fillrate[c],Processing power (GFLOPS)[c][d],Processing power (GFLOPS)[c][d],Processing power (GFLOPS)[c][d],TDP (Watts),SLI support,Release price (USD),Release price (USD)
Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[b],Bus interface,"L2
Cache (MB)",Base core clock (MHz),Boost core clock (MHz),Memory (MT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Pixel (GP/s)[e][f],Texture (GT/s)[g],Single precision,Double precision,Half precision,TDP (Watts),SLI support,MSRP,Founders Edition
GeForce GT 1030[79][80],"March 12, 2018",GP108-310-A1,Samsung 14LPP,1.8,74,384:24:16 (3) (1),PCIe 3.0 x4[81][82],?,1152,1379,2100,2,16.8,DDR4,64,18.4 22.0,27.6 33.0,884.7 1 059.0,27.6 33.0,13.8 16.5,20,No,$79,N/A
GeForce GT 1030[79][80],"May 17, 2017",GP108-300-A1,Samsung 14LPP,1.8,74,384:24:16 (3) (1),PCIe 3.0 x4[81][82],.5,1227,1468,6000,2,48.0,GDDR5,64,19.6 23.4,29.4 35.2,942.3 1 127.4,29.4 35.2,14.7 17.6,30,No,$70,N/A
GeForce GTX 1050[83],"October 25, 2016",GP107-300-A1,Samsung 14LPP,3.3,132,640:40:32 (5) (2),PCIe 3.0 x16,1,1354,1455,7000,2,112.0,GDDR5,128,43.3 46.6,54.1 58.8,1 733.1 1 862.4,54.1 58.2,27.0 29.1,75 (Retail up to 120),No,$109,N/A
GeForce GTX 1050[83],"May 21, 2018",GP107-301-A1,Samsung 14LPP,3.3,132,768:48:24 (6) (2),PCIe 3.0 x16,.75,1392,1518,7000,3,84.0,GDDR5,96,33.4 36.4,66.8 72.9,2 138.1 2 331.6,66.8 72.9,33.4 36.4,75 (Retail up to 120),No,Unknown,N/A
GeForce GTX 1050 Ti[83],"October 25, 2016",GP107-400-A1,Samsung 14LPP,3.3,132,768:48:32 (6) (2),PCIe 3.0 x16,1,1290,1392,7000,4,112.0,GDDR5,128,41.2 44.5,61.9 66.8,1 981.4 2 138.1,61.9 66.8,30.9 33.4,75 (Retail up to 120),No,$139,N/A
GeForce GTX 1060 [84][85][86][87],"December 25, 2016",GP104-140-A1,TSMC 16FF,7.2,314,1152:72:48 (9) (2),PCIe 3.0 x16,1.5?,1506,1708,8000,3,192.0,GDDR5,192,72.2 81.9,108.4 122.9,3 469.8 3 935.2,108.4 122.9,54.2 61.4,120 (Retail up to 200),No,$199,N/A
GeForce GTX 1060 [84][85][86][87],"August 18, 2016",GP106-300-A1,TSMC 16FF,4.4,200,1152:72:48 (9) (2),PCIe 3.0 x16,1.5,1506,1708,8000,3,192.0,GDDR5,192,72.2 81.9,108.4 122.9,3 469.8 3 935.2,108.4 122.9,54.2 61.4,120 (Retail up to 200),No,$199,N/A
GeForce GTX 1060 [84][85][86][87],"December 26, 2017",GP106-350-K3-A1,TSMC 16FF,4.4,200,1280:80:40 (10) (2),PCIe 3.0 x16,1.25,1506,1708,8000,5,160.0,GDDR5,160,60.2 68.3,120.4 136.7,3 855.3 4 375.0,120.4 136.7,60.2 68.3,120 (Retail up to 200),No,OEM,N/A
GeForce GTX 1060 [84][85][86][87],"March 8, 2018",GP104-150-A1,TSMC 16FF,7.2,314,1280:80:48 (10) (2),PCIe 3.0 x16,1.5,1506,1708,8000,6,192.0,GDDR5,192,72.2 82.0,120.4 136.7,3 855.3 4 375.0,120.4 136.7,60.2 68.3,120 (Retail up to 200),No,Unknown,N/A
GeForce GTX 1060 [84][85][86][87],"December, 2018",GP104-150-KA-A1,TSMC 16FF,7.2,314,1280:80:48 (10) (2),PCIe 3.0 x16,1.5,1506,1708,8000,6,192.0,GDDR5X,192,72.2 82.0,120.4 136.7,3 855.3 4 375.0,120.4 136.7,60.2 68.3,120 (Retail up to 200),No,Unknown,N/A
GeForce GTX 1060 [84][85][86][87],"July 19, 2016",GP106-400-A1,TSMC 16FF,4.4,200,1280:80:48 (10) (2),PCIe 3.0 x16,1.5?,1506,1708,8000,6,192.0,GDDR5,192,72.2 82.0,120.4 136.7,3 855.3 4 375.0,120.4 136.7,60.2 68.3,120 (Retail up to 200),No,$249,$299
GeForce GTX 1060 [84][85][86][87],"April 20, 2017",GP106-410-A1,TSMC 16FF,4.4,200,1280:80:48 (10) (2),PCIe 3.0 x16,1.5?,1506,1708,9000,6,216.0,GDDR5,192,72.2 82.0,120.4 136.7,3 855.3 4 375.0,120.4 136.7,60.2 68.3,120 (Retail up to 200),No,$299,N/A
GeForce GTX 1070[88][89],"June 10, 2016 / Dec. 2018",GP104-200-A1,TSMC 16FF,7.2,314,1920:120:64 (15) (3),PCIe 3.0 x16,2,1506,1683,8000,8,256.0,GDDR5 / GDDR5X,256,96.3 107.7,180.7 201.9,5 783.0 6 462.7,180.7 201.9,90.3 100.9,150 (Retail up to 250),4-way SLI or 2-way SLI HB[90][91],$379,$449 ($399)[92]
GeForce GTX 1070 Ti[88],"November 2, 2017",GP104-300-A1,TSMC 16FF,7.2,314,2432:152:64 (19) (4),PCIe 3.0 x16,2,1607,1683,8000,8,256.0,GDDR5,256,102.8 107.7,244 256,7 816.4 8 186.1,244.2 255.8,122.1 127.9,180 (Retail up to 300),4-way SLI or 2-way SLI HB[90][91],$449,$449
