Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Clock speed,Clock speed,Fillrate,Fillrate,Memory,Memory,Memory,Memory,Supported API version,Supported API version,Processing power (GFLOPS)2,TBP (Watts),Notes
Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Core (MHz),Shader (MHz),Memory (MT/s),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,Processing power (GFLOPS)2,TBP (Watts),Notes
GeForce 710M,January 2013,GF117,28,PCIe 2.0 ×16,96:16:4,800,1600,1800,3.2,12.8,1024 2048,14.4,DDR3,64,12,4.5,307.2,12,OEM. About 115% of Mobile 620 & Desktop 530[original research?]
GeForce GT 720M,"April 1, 2013",GF117,28,PCIe 2.0 ×16,96:16:4,938,1876,2000,3.8,15.0,2048,16.0,DDR3,64,12,4.5,360.19,?,OEM. About 130% of Mobile 625/630 & Desktop 620[original research?]
GeForce GT 720M,"December 25, 2013",GK208,28,PCIe 2.0 x8,192:16:8,719,719,3.032,2000,12.13,12.8,2048,291,DDR3,64,12,4.5,22,"Kepler, similar to 730M with half of the cores disabled"
GeForce GT 730M,January 2013,GK208,28,PCIe 3.0 ×8,384:32:8 (2 SMX),719,719,5.8,2000,23.0,16.0,2048,128,DDR3,552.2,12,4.5,33,"Kepler, similar to Desktop GT640"
GeForce GT 735M,"April 1, 2013",GK208,28,PCIe 3.0 ×8,384:32:8 (2 SMX),889,889,7.11,2000,28.4,64,16.0,682.8,DDR3,?,12,4.5,"Kepler, similar to Desktop GT640"
GeForce GT 740M,"April 1, 2013",GK208,28,PCIe 3.0 ×8,384:32:8 (2 SMX),980,980,1800,7.84,31.4,14.4,64,752.6,DDR3,"Kepler, similar to Desktop GT640.",?,4.5
GeForce GT 740M,"April 1, 2013",GK107,28,PCIe 3.0 ×16,384:32:16 (2 SMX),810[141],810[141],1800 5000,12.96,25.92,2048[141],28.8 80,DDR3 GDDR5[141],128,622.1,12,4.5,45,about 76% of Desktop GTX650[original research?]
GeForce GT 745M,"April 1, 2013",GK107,28,PCIe 3.0 ×16,384:32:16 (2 SMX),837,837,2000 5000,13.4,26.8,2048,32 80,DDR3 GDDR5,642.8,128,12,4.5,about 79% of Desktop GTX650[original research?],45
GeForce GT 750M,"April 1, 2013",GK107,28,PCIe 3.0 ×16,384:32:16 (2 SMX),967,967,15.5,2000 5000,30.9,742.7,2048,32 80,DDR3 GDDR5,128,12,4.5,50,about 91% of Desktop GTX650[original research?]
GeForce GT 755M[142],?,GK107,28,PCIe 3.0 ×16,384:32:16 (2 SMX),1020,1020,5400,15.7,31.4,86.4,2048,GDDR5,783,128,12,4.5,about 93% of Desktop GTX650[original research?],50
GeForce GTX 760M,May 2013,GK106,28,PCIe 3.0 ×16,768:64:16 (4 SMX),719,719,4000,10.5,42.1,64,2048,1104,GDDR5,128,12,4.5,55,about 71% of Desktop GTX 650Ti[original research?]
GeForce GTX 765M,May 2013,GK106,28,PCIe 3.0 ×16,768:64:16 (4 SMX),863,863,13.6,4000,54.4,1326,64,65,GDDR5,128,12,4.5,about 92% of Desktop GTX 650Ti[original research?]
GeForce GTX 770M,May 2013,GK106,28,PCIe 3.0 ×16,960:80:24 (5 SMX),797,797,19.5,4000,64.9,3072,96,192,GDDR5,1530,12,4.5,75,about 83% of Desktop GTX660[original research?]
GeForce GTX 780M,May 2013,GK104,28,PCIe 3.0 ×16,1536:128:32 (8 SMX),797,797,5000,26.3,105.3,4096,160,GDDR5,256,12,4.5,2448,122,about 78% of Desktop GTX770[original research?]
Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Clock speed,Clock speed,Fillrate,Fillrate,Memory,Memory,Memory,Memory,Supported API version,Supported API version,Processing power (GFLOPS)2,TBP (Watts),Notes
Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Core (MHz),Shader (MHz),Memory (MT/s),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,Processing power (GFLOPS)2,TBP (Watts),Notes
