Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,Fillrate,Fillrate,Fillrate,Memory,Memory,Memory,Memory
Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit)
GeForce 6100 + nForce 410,"October 20, 2005",MCP51,TSMC 90 nm,HyperTransport,425,100–200 (DDR) 200–533 (DDR2),2:1:2:1,850,425,850,106.25,Up to 256 system RAM,1.6–6.4 (DDR) 3.2–17.056 (DDR2),DDR DDR2,64 128
GeForce 6150 SE + nForce 430,June 2006,MCP61,TSMC 90 nm,HyperTransport,425,200 400[citation needed],2:1:2:1,850,425,850,106.25,Up to 256 system RAM,3.2 16.0[citation needed],DDR2,64 128
GeForce 6150 LE + nForce 430,June 2006,MCP61,TSMC 90 nm,HyperTransport,425,100–200 (DDR) 200–533 (DDR2),2:1:2:1,850,425,850,106.25,Up to 256 system RAM,1.6–6.4 (DDR) 3.2–17.056 (DDR2),DDR DDR2,64 128
GeForce 6150 + nForce 430,"October 20, 2005",MCP51,TSMC 90 nm,HyperTransport,475,100–200 (DDR) 200–533 (DDR2),2:1:2:1,950,475,950,118.75,Up to 256 system RAM,1.6–6.4 (DDR) 3.2–17.056 (DDR2),DDR DDR2,64 128
GeForce 6200 LE,2005,NV44,TSMC 110 nm,AGP 8× PCIe ×16,350,266,2:1:2:1,700,700,700,87.5,128 256,4.256,DDR,64
GeForce 6200A,"April 4, 2005",NV44A,TSMC 110 nm,AGP 8×,350[7],250 533 (DDR2)[7],4:3:4:2,1400[7],700[7],1400[7],175 225 (DDR2)[8],128 256 (DDR2)[7] 512 (DDR2)[7],4 13.3 (DDR2)[9],DDR DDR2[8],64[8]
GeForce 6200,"October 12, 2004 (PCIe) January 17, 2005 (AGP)",NV43,TSMC 110 nm,AGP 8× PCI PCIe ×16,300,275,4:3:4:4,1200,1200,1200,225,128 256,8.8,DDR2,128
GeForce 6200 TurboCache,"December 15, 2004",NV44,TSMC 110 nm,PCIe ×16,350,350,4:3:4:2,1400,700,1400,262.5,128–256 System RAM incl.16/32–64/128 onboard,5.6,DDR,64
GeForce 6500,"October 1, 2005",NV44,TSMC 110 nm,PCIe ×16,400,333,4:3:4:2,1600,800,1600,300,128 256,5.328,DDR,64
GeForce 6600 LE,2005,NV43,TSMC 110 nm,AGP 8× PCIe ×16,300,200,4:3:4:4,1200,1200,1200,225,128 256,6.4,DDR,128
GeForce 6600,"August 12, 2004",NV43,TSMC 110 nm,AGP 8× PCIe ×16,300,"275
400",8:3:8:4,2400,1200,2400,225,128 256,"8.8
12.8","DDR
DDR2",128
GeForce 6600 GT,"August 12, 2004 (PCIe) November 14, 2004 (AGP)",NV43,TSMC 110 nm,AGP 8× PCIe ×16,500,475 (AGP) 500 (PCIe),8:3:8:4,4000,2000,4000,375,128 256,15.2[10] (AGP) 16 (PCIe),GDDR3,128
GeForce 6800 LE,"July 22, 2004 (AGP) January 16, 2005 (PCIe)","NV40 (AGP) NV41, NV42 (PCIe)",IBM 130 nm,AGP 8× PCIe ×16,320 (AGP) 325 (PCIe),350,8:4:8:8,2560 (AGP) 2600 (PCIe),2560 (AGP) 2600 (PCIe),2560 (AGP) 2600 (PCIe),320 (AGP) 325 (PCIe),128,22.4,DDR,256
