Model, Micro- architecture ,Launch,Chips,Core clock (MHz),Shaders,Shaders,Shaders,Memory,Memory,Memory,Memory,Memory,Processing power (GFLOPS)[a],Processing power (GFLOPS)[a],Processing power (GFLOPS)[a],CUDA compute ability[b],TDP (watts),"Notes, form_factor"
Model, Micro- architecture ,Launch,Chips,Core clock (MHz),Cuda cores (total),Base clock (MHz),Max boost clock (MHz)[c],Bus type,Bus width (bit),Size (GB),Clock (MT/s),Bandwidth (GB/s),Single precision (MAD+MUL),Single precision (MAD or FMA),Double precision (FMA),CUDA compute ability[b],TDP (watts),"Notes, form_factor"
Units,,,,,,MHz,MHz,,,,,,,,,,W,
C870 GPU Computing Module[d],Tesla,"May 2, 2007",1× G80,600,128,1350,N/A,GDDR3,384,1.5,1600,76.8,518.4,345.6,No,1.0,170.9,"Internal PCIe GPU (full-height, dual-slot)"
D870 Deskside Computer[d],Tesla,"May 2, 2007",2× G80,600,256,1350,N/A,GDDR3,2× 384,2× 1.5,1600,2× 76.8,1036.8,691.2,No,1.0,520,Deskside or 3U rack-mount external GPUs
S870 GPU Computing Server[d],Tesla,"May 2, 2007",4× G80,600,512,1350,N/A,GDDR3,4× 384,4× 1.5,1600,4× 76.8,2073.6,1382.4,No,1.0,,"1U rack-mount external GPUs, connect via 2× PCIe (×16)"
C1060 GPU Computing Module[e],Tesla,"April 9, 2009",1× GT200,602,240,1296[233],N/A,GDDR3,512,4,1600,102.4,933.12,622.08,77.76,1.3,187.8,"Internal PCIe GPU (full-height, dual-slot)"
"S1070 GPU Computing Server ""400 configuration""[e]",Tesla,"June 1, 2008",4× GT200,602,960,1296,N/A,GDDR3,4× 512,4× 4,1538.4,4× 98.5,3732.5,2488.3,311.0,1.3,800,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)"
"S1070 GPU Computing Server ""500 configuration""[e]",Tesla,,4× GT200,602,960,1440,N/A,GDDR3,4× 512,4× 4,1538.4,4× 98.5,4147.2,2764.8,345.6,1.3,800,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)"
S1075 GPU Computing Server[e][234],Tesla,"June 1, 2008",4× GT200,602,960,1440,N/A,GDDR3,4× 512,4× 4,1538.4,4× 98.5,4147.2,2764.8,345.6,1.3,,"1U rack-mount external GPUs, connect via 1× PCIe (×8 or ×16)"
Quadro Plex 2200 D2 Visual Computing System[f],Tesla,,2× GT200GL,648,480,1296,N/A,GDDR3,2× 512,2× 4,1600,2× 102.4,1866.2,1244.2,155.5,1.3,,Deskside or 3U rack-mount external GPUs with 4 dual-link DVI outputs
Quadro Plex 2200 S4 Visual Computing System[f],Tesla,,4× GT200GL,648,960,1296,N/A,GDDR3,4× 512,4× 4,1600,4× 102.4,3732.5,2488.3,311.0,1.3,1200,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)"
C2050 GPU Computing Module[235],Fermi,"July 25, 2011",1× GF100,575,448,1150,N/A,GDDR5,384,3[g],3000,144,No,1030.4,515.2,2.0,247,"Internal PCIe GPU (full-height, dual-slot)"
M2050 GPU Computing Module[236],Fermi,"July 25, 2011",1× GF100,575,448,1150,N/A,GDDR5,384,3[g],3092,148.4,No,1030.4,515.2,2.0,225,"Internal PCIe GPU (full-height, dual-slot)"
C2070 GPU Computing Module[235],Fermi,"July 25, 2011",1× GF100,575,448,1150,N/A,GDDR5,384,6[g],3000,144,No,1030.4,515.2,2.0,247,"Internal PCIe GPU (full-height, dual-slot)"
C2075 GPU Computing Module[237],Fermi,"July 25, 2011",1× GF100,575,448,1150,N/A,GDDR5,384,6[g],3000,144,No,1030.4,515.2,2.0,225,"Internal PCIe GPU (full-height, dual-slot)"
M2070/M2070Q GPU Computing Module[238],Fermi,"July 25, 2011",1× GF100,575,448,1150,N/A,GDDR5,384,6[g],3132,150.336,No,1030.4,515.2,2.0,225,"Internal PCIe GPU (full-height, dual-slot)"
M2090 GPU Computing Module[239],Fermi,"July 25, 2011",1× GF110,650,512,1300,N/A,GDDR5,384,6[g],3700,177.6,No,1331.2,665.6,2.0,225,"Internal PCIe GPU (full-height, dual-slot)"
S2050 GPU Computing Server,Fermi,"July 25, 2011",4× GF100,575,1792,1150,N/A,GDDR5,4× 384,4× 3[g],3,4× 148.4,No,4121.6,2060.8,2.0,900,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)"
S2070 GPU Computing Server,Fermi,,4× GF100,575,1792,1150,N/A,GDDR5,4× 384,4× 6[g],3,4× 148.4,No,4121.6,2060.8,2.0,900,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)"
K10 GPU accelerator[240],Kepler,"May 1, 2012",2× GK104,N/A,3072,745,?,GDDR5,2× 256,2× 4,5000,2× 160,No,4577,190.7,3.0,225,"Internal PCIe GPU (full-height, dual-slot)"
K20 GPU accelerator[241][242],Kepler,"November 12, 2012",1× GK110,N/A,2496,706,758,GDDR5,320,5,5200,208,No,3524,1175,3.5,225,"Internal PCIe GPU (full-height, dual-slot)"
K20X GPU accelerator[243],Kepler,"November 12, 2012",1× GK110,N/A,2688,732,?,GDDR5,384,6,5200,250,No,3935,1312,3.5,235,"Internal PCIe GPU (full-height, dual-slot)"
K40 GPU accelerator[244],Kepler,"October 8, 2013",1× GK110B,N/A,2880,745,875,GDDR5,384,12[g],6000,288,No,4291–5040,1430–1680,3.5,235,"Internal PCIe GPU (full-height, dual-slot)"
K80 GPU accelerator[245],Kepler,"November 17, 2014",2× GK210,N/A,4992,560,875,GDDR5,2× 384,2× 12,5000,2× 240,No,5591–8736,1864–2912,3.7,300,"Internal PCIe GPU (full-height, dual-slot)"
M4 GPU accelerator[246][247],Maxwell,"November 10, 2015",1× GM206,N/A,1024,872,1072,GDDR5,128,4,5500,88,No,1786–2195,55.81–68.61,5.2,50–75,"Internal PCIe GPU (half-height, single-slot)"
M6 GPU accelerator[248],Maxwell,"August 30, 2015",1× GM204-995-A1,N/A,1536,722,1051,GDDR5,256,8,4600,147.2,No,2218–3229,69.3–100.9,5.2,75–100,Internal MXM GPU
M10 GPU accelerator[249],Maxwell,,4× GM107,N/A,2560,1033,?,GDDR5,4× 128,4× 8,5188,4× 83,No,5289,165.3,5.2,225,"Internal PCIe GPU (full-height, dual-slot)"
M40 GPU accelerator[247][250],Maxwell,"November 10, 2015",1× GM200,N/A,3072,948,1114,GDDR5,384,12,6000,288,No,5825–6844,182.0–213.9,5.2,250,"Internal PCIe GPU (full-height, dual-slot)"
M60 GPU accelerator[251],Maxwell,"August 30, 2015",2× GM204-895-A1,N/A,4096,899,1178,GDDR5,2× 256,2× 8,5000,2× 160,No,7365–9650,230.1–301.6,5.2,225–300,"Internal PCIe GPU (full-height, dual-slot)"
P4 GPU accelerator[252],Pascal,"September 13, 2016",1× GP104,N/A,2560,810,1063,GDDR5,256,8,6000,192.0,No,4147–5443,129.6–170.1,6.1,50-75,PCIe card
P6 GPU accelerator[253][254],Pascal,"March 24, 2017",1× GP104-995-A1,N/A,2048,1012,1506,GDDR5,256,16,3003,192.2,No,6169,192.8,6.1,90,MXM card
P40 GPU accelerator[252],Pascal,"September 13, 2016",1× GP102,N/A,3840,1303,1531,GDDR5,384,24,7200,345.6,No,10007–11758,312.7–367.4,6.1,250,PCIe card
P100 GPU accelerator (mezzanine)[255][256],Pascal,"April 5, 2016",1× GP100-890-A1,N/A,3584,1328,1480,HBM2,4096,16,1430,732,No,9519–10609,4760–5304,6.0,300,NVLink card
